         151         151         387   514.792664      WAVE
 -1.0000E+00 -1.0000E+00  2.5486E+06  9.4588E-01 -7.8016E-02 -3.1499E-01
 -9.8667E-01 -1.0000E+00  9.7806E+06  9.1427E-01  3.4414E-01  2.1373E-01
 -9.7333E-01 -1.0000E+00  2.8547E+07  9.1414E-01  4.0497E-01  1.8611E-02
 -9.6000E-01 -1.0000E+00  2.5934E+07  9.1914E-01  3.7946E-01 -1.0581E-01
 -9.4667E-01 -1.0000E+00  6.6764E+06  9.3485E-01  1.9566E-01 -2.9628E-01
 -9.3333E-01 -1.0000E+00  4.9067E+06  9.3299E-01  1.7148E-01  3.1644E-01
 -9.2000E-01 -1.0000E+00  2.5550E+07  9.2426E-01  3.7433E-01  7.4985E-02
 -9.0667E-01 -1.0000E+00  3.6133E+07  9.2748E-01  3.7145E-01 -4.2419E-02
 -8.9333E-01 -1.0000E+00  2.0030E+07  9.3375E-01  3.1770E-01 -1.6485E-01
 -8.8000E-01 -1.0000E+00  2.8655E+06  9.6400E-01 -1.5603E-01 -2.1531E-01
 -8.6667E-01 -1.0000E+00  1.2361E+07  9.3603E-01  2.9100E-01  1.9792E-01
 -8.5333E-01 -1.0000E+00  3.6358E+07  9.3581E-01  3.5060E-01  3.6556E-02
 -8.4000E-01 -1.0000E+00  4.1238E+07  9.3909E-01  3.3879E-01 -5.7666E-02
 -8.2667E-01 -1.0000E+00  2.0431E+07  9.4506E-01  2.7919E-01 -1.7005E-01
 -8.1333E-01 -1.0000E+00  3.1072E+06  9.7131E-01 -1.8376E-01 -1.5096E-01
 -8.0000E-01 -1.0000E+00  1.3959E+07  9.4639E-01  2.6243E-01  1.8833E-01
 -7.8667E-01 -1.0000E+00  4.0813E+07  9.4620E-01  3.2051E-01  4.4419E-02
 -7.7333E-01 -1.0000E+00  5.1087E+07  9.4885E-01  3.1356E-01 -3.6874E-02
 -7.6000E-01 -1.0000E+00  3.2712E+07  9.5285E-01  2.7824E-01 -1.2107E-01
 -7.4667E-01 -1.0000E+00  8.0120E+06  9.6448E-01  8.7654E-02 -2.4919E-01
 -7.3333E-01 -1.0000E+00  6.6023E+06  9.6202E-01  8.3415E-02  2.5992E-01
 -7.2000E-01 -1.0000E+00  3.1781E+07  9.5572E-01  2.7819E-01  9.6003E-02
