         151         151         305   310.000000      WAVE
 -1.0000E+00 -1.0000E+00  8.8635E+07  9.3776E-01  3.0266E-01  1.7028E-01
 -9.8667E-01 -1.0000E+00  1.7268E+08  9.4493E-01  3.2484E-01  3.9922E-02
 -9.7333E-01 -1.0000E+00  2.1208E+08  9.4816E-01  3.1454E-01 -4.5355E-02
 -9.6000E-01 -1.0000E+00  1.7875E+08  9.4975E-01  2.8685E-01 -1.2527E-01
 -9.4667E-01 -1.0000E+00  9.7297E+07  9.4847E-01  2.1820E-01 -2.2975E-01
 -9.3333E-01 -1.0000E+00  2.6483E+07  9.2865E-01 -7.8925E-02 -3.6246E-01
 -9.2000E-01 -1.0000E+00  1.7954E+07  9.0635E-01 -1.3979E-01  3.9874E-01
 -9.0667E-01 -1.0000E+00  8.1794E+07  9.4584E-01  2.5117E-01  2.0568E-01
 -8.9333E-01 -1.0000E+00  1.8105E+08  9.5419E-01  2.9019E-01  7.2878E-02
 -8.8000E-01 -1.0000E+00  2.5650E+08  9.5767E-01  2.8781E-01 -5.5581E-03
 -8.6667E-01 -1.0000E+00  2.6384E+08  9.5966E-01  2.7262E-01 -6.8779E-02
 -8.5333E-01 -1.0000E+00  1.9972E+08  9.6049E-01  2.4285E-01 -1.3598E-01
 -8.4000E-01 -1.0000E+00  1.0234E+08  9.5835E-01  1.7072E-01 -2.2895E-01
 -8.2667E-01 -1.0000E+00  2.8373E+07  9.3743E-01 -1.2571E-01 -3.2469E-01
 -8.1333E-01 -1.0000E+00  2.1253E+07  9.2053E-01 -1.4782E-01  3.6163E-01
 -8.0000E-01 -1.0000E+00  8.8634E+07  9.5575E-01  2.0864E-01  2.0741E-01
 -7.8667E-01 -1.0000E+00  1.9996E+08  9.6381E-01  2.5176E-01  8.7691E-02
 -7.7333E-01 -1.0000E+00  3.0340E+08  9.6714E-01  2.5354E-01  1.8810E-02
 -7.6000E-01 -1.0000E+00  3.5181E+08  9.6911E-01  2.4453E-01 -3.2254E-02
 -7.4667E-01 -1.0000E+00  3.2452E+08  9.7034E-01  2.2832E-01 -7.9386E-02
 -7.3333E-01 -1.0000E+00  2.3533E+08  9.7071E-01  2.0020E-01 -1.3283E-01
 -7.2000E-01 -1.0000E+00  1.2457E+08  9.6868E-01  1.3784E-01 -2.0655E-01
 -7.0667E-01 -1.0000E+00  4.0685E+07  9.5418E-01 -7.7077E-02 -2.8914E-01
