         151         151         389   520.000000      WAVE
 -1.0000E+00 -1.0000E+00  2.5400E+06  9.2574E-01  9.7478E-03 -3.7803E-01
 -9.8667E-01 -1.0000E+00  7.5170E+06  9.1018E-01  3.3909E-01  2.3791E-01
 -9.7333E-01 -1.0000E+00  2.4890E+07  9.1276E-01  4.0782E-01  2.3462E-02
 -9.6000E-01 -1.0000E+00  2.3677E+07  9.1730E-01  3.8476E-01 -1.0254E-01
 -9.4667E-01 -1.0000E+00  6.1577E+06  9.2678E-01  2.2112E-01 -3.0364E-01
 -9.3333E-01 -1.0000E+00  3.7847E+06  9.2358E-01  1.6413E-01  3.4651E-01
 -9.2000E-01 -1.0000E+00  2.2268E+07  9.2261E-01  3.7828E-01  7.5455E-02
 -9.0667E-01 -1.0000E+00  3.1977E+07  9.2627E-01  3.7425E-01 -4.4274E-02
 -8.9333E-01 -1.0000E+00  1.7378E+07  9.3118E-01  3.2231E-01 -1.7035E-01
 -8.8000E-01 -1.0000E+00  2.0648E+06  9.4733E-01 -2.1131E-01 -2.4065E-01
 -8.6667E-01 -1.0000E+00  1.1091E+07  9.3196E-01  3.0562E-01  1.9504E-01
 -8.5333E-01 -1.0000E+00  3.2437E+07  9.3462E-01  3.5431E-01  3.0654E-02
 -8.4000E-01 -1.0000E+00  3.5574E+07  9.3797E-01  3.4063E-01 -6.4623E-02
 -8.2667E-01 -1.0000E+00  1.6258E+07  9.4252E-01  2.7796E-01 -1.8548E-01
 -8.1333E-01 -1.0000E+00  2.0113E+06  9.5438E-01 -2.8571E-01 -8.6745E-02
 -8.0000E-01 -1.0000E+00  1.3517E+07  9.4250E-01  2.8490E-01  1.7473E-01
 -7.8667E-01 -1.0000E+00  3.7132E+07  9.4510E-01  3.2502E-01  3.3917E-02
 -7.7333E-01 -1.0000E+00  4.3549E+07  9.4796E-01  3.1487E-01 -4.7256E-02
 -7.6000E-01 -1.0000E+00  2.5174E+07  9.5130E-01  2.7551E-01 -1.3825E-01
 -7.4667E-01 -1.0000E+00  4.6844E+06  9.5833E-01  1.3254E-02 -2.8536E-01
 -7.3333E-01 -1.0000E+00  7.1181E+06  9.5236E-01  1.6404E-01  2.5710E-01
 -7.2000E-01 -1.0000E+00  3.1116E+07  9.5416E-01  2.8884E-01  7.8500E-02
 -7.0667E-01 -1.0000E+00  5.1526E+07  9.5660E-01  2.9139E-01 -2.4219E-03
 -6.9333E-01 -1.0000E+00  4.7400E+07  9.5904E-01  2.7551E-01 -6.5876E-02
 -6.8000E-01 -1.0000E+00  2.3465E+07  9.6191E-01  2.2874E-01 -1.4971E-01
 -6.6667E-01 -1.0000E+00  4.0924E+06  9.6703E-01 -8.0863E-02 -2.4150E-01
 -6.5333E-01 -1.0000E+00  8.7575E+06  9.6193E-01  1.5266E-01  2.2669E-01
 -6.4000E-01 -1.0000E+00  3.4249E+07  9.6406E-01  2.5383E-01  7.8507E-02
 -6.2667E-01 -1.0000E+00  5.8930E+07  9.6616E-01  2.5776E-01  9.7699E-03
 -6.1333E-01 -1.0000E+00  6.2532E+07  9.6813E-01  2.4727E-01 -3.9756E-02
 -6.0000E-01 -1.0000E+00  4.2807E+07  9.7015E-01  2.2383E-01 -9.3365E-02
 -5.8667E-01 -1.0000E+00  1.6007E+07  9.7257E-01  1.4912E-01 -1.7850E-01
 -5.7333E-01 -1.0000E+00  3.0942E+06  9.7343E-01 -2.2866E-01 -1.1828E-02
 -5.6000E-01 -1.0000E+00  1.4075E+07  9.7187E-01  1.6434E-01  1.6872E-01
 -5.4667E-01 -1.0000E+00  4.1941E+07  9.7397E-01  2.1696E-01  6.5610E-02
 -5.3333E-01 -1.0000E+00  6.8869E+07  9.7569E-01  2.1871E-01  1.3838E-02
 -5.2000E-01 -1.0000E+00  7.8605E+07  9.7724E-01  2.1090E-01 -2.2736E-02
 -5.0667E-01 -1.0000E+00  6.6201E+07  9.7873E-01  1.9697E-01 -5.7353E-02
 -4.9333E-01 -1.0000E+00  3.9717E+07  9.8023E-01  1.7036E-01 -1.0063E-01
 -4.8000E-01 -1.0000E+00  1.4354E+07  9.8177E-01  8.9330E-02 -1.6775E-01
 -4.6667E-01 -1.0000E+00  3.6570E+06  9.8056E-01 -1.9609E-01  7.7800E-03
