         151         151         400   546.729980      WAVE
 -1.0000E+00 -1.0000E+00  1.0213E+07  9.0411E-01  4.2698E-01 -1.6652E-02
 -9.8667E-01 -1.0000E+00  5.7206E+06  9.1241E-01  3.7045E-01 -1.7396E-01
 -9.7333E-01 -1.0000E+00  6.9527E+05  9.6755E-01 -2.5253E-01 -8.7559E-03
 -9.6000E-01 -1.0000E+00  5.7195E+06  9.1425E-01  3.7660E-01  1.4942E-01
 -9.4667E-01 -1.0000E+00  1.1751E+07  9.1516E-01  4.0300E-01 -8.2758E-03
 -9.3333E-01 -1.0000E+00  7.5594E+06  9.2150E-01  3.6130E-01 -1.4248E-01
 -9.2000E-01 -1.0000E+00  1.0200E+06  9.6084E-01 -1.0380E-01 -2.5694E-01
 -9.0667E-01 -1.0000E+00  4.5569E+06  9.2654E-01  3.2219E-01  1.9423E-01
 -8.9333E-01 -1.0000E+00  1.2678E+07  9.2526E-01  3.7845E-01  2.5943E-02
 -8.8000E-01 -1.0000E+00  1.1710E+07  9.2929E-01  3.5962E-01 -8.4184E-02
 -8.6667E-01 -1.0000E+00  3.3595E+06  9.4211E-01  2.2088E-01 -2.5228E-01
 -8.5333E-01 -1.0000E+00  1.7404E+06  9.4939E-01  9.2378E-02  3.0019E-01
 -8.4000E-01 -1.0000E+00  1.0209E+07  9.3515E-01  3.4228E-01  9.1334E-02
 -8.2667E-01 -1.0000E+00  1.6159E+07  9.3720E-01  3.4841E-01 -1.6183E-02
 -8.1333E-01 -1.0000E+00  1.0748E+07  9.4169E-01  3.1568E-01 -1.1647E-01
 -8.0000E-01 -1.0000E+00  2.1323E+06  9.5952E-01  7.1079E-02 -2.7251E-01
 -7.8667E-01 -1.0000E+00  3.2132E+06  9.5042E-01  1.9328E-01  2.4361E-01
 -7.7333E-01 -1.0000E+00  1.3227E+07  9.4560E-01  3.1753E-01  7.0893E-02
 -7.6000E-01 -1.0000E+00  1.9136E+07  9.4769E-01  3.1877E-01 -1.6655E-02
 -7.4667E-01 -1.0000E+00  1.3384E+07  9.5129E-01  2.9179E-01 -9.9546E-02
 -7.3333E-01 -1.0000E+00  3.5062E+06  9.6176E-01  1.4092E-01 -2.3487E-01
 -7.2000E-01 -1.0000E+00  2.1801E+06  9.6474E-01  5.5757E-02  2.5725E-01
 -7.0667E-01 -1.0000E+00  1.1654E+07  9.5550E-01  2.7765E-01  9.9696E-02
 -6.9333E-01 -1.0000E+00  2.1525E+07  9.5682E-01  2.9034E-01  1.4048E-02
 -6.8000E-01 -1.0000E+00  2.1075E+07  9.5920E-01  2.7840E-01 -4.9203E-02
 -6.6667E-01 -1.0000E+00  1.1018E+07  9.6297E-01  2.3709E-01 -1.2838E-01
 -6.5333E-01 -1.0000E+00  2.1777E+06  9.7642E-01 -2.3384E-02 -2.1459E-01
 -6.4000E-01 -1.0000E+00  3.9344E+06  9.6809E-01  1.3763E-01  2.0945E-01
 -6.2667E-01 -1.0000E+00  1.5109E+07  9.6530E-01  2.4853E-01  8.0214E-02
 -6.1333E-01 -1.0000E+00  2.5713E+07  9.6665E-01  2.5570E-01  1.4326E-02
 -6.0000E-01 -1.0000E+00  2.6575E+07  9.6855E-01  2.4643E-01 -3.4524E-02
 -5.8667E-01 -1.0000E+00  1.7271E+07  9.7100E-01  2.2186E-01 -8.9097E-02
 -5.7333E-01 -1.0000E+00  5.8473E+06  9.7596E-01  1.3059E-01 -1.7448E-01
 -5.6000E-01 -1.0000E+00  1.7274E+06  9.8501E-01 -1.3739E-01  1.0431E-01
 -5.4667E-01 -1.0000E+00  8.3720E+06  9.7483E-01  1.7723E-01  1.3528E-01
