,Simulation Number,SU.photonEnergy,ExitSlit.totalHeight,PG.cFactor,SU.numberRays,SourcePhotonFlux,SourceBandwidth,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalDivergenceFWHM,VerticalDivergenceFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,PhotonFlux7,PhotonFlux9,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,FluxPerMilPerBwAbs7,FluxPerMilPerBwAbs9,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,AXUVCurrentAmp7,AXUVCurrentAmp9,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5,GaAsPCurrentAmp7,GaAsPCurrentAmp9
16,16,1000.0,0.1,2.25,100000.0,,30.0,115.5,0.1154999999999999,1000.0,0.3266997765322799,0.0121939001992649,0.0281827328626946,0.211547177931851,0.0092980711202953,-0.0010929682606635,0.0078550107743871,892541587944.0789,,,,,92.77108939182624,10.652396070482672,82317805230804.06,,,,,3.898497530602975e-05,,,,,2.0541950530016983e-05,,,,
17,17,1050.0,0.1,2.25,100000.0,,31.5,122.75,0.12275,1050.0,0.266554594227955,0.0088518851370907,0.0298596072655074,0.1503477373643745,0.0058977570031833,-0.0005831281970773,0.0093132503602991,850527593254.4863,,,,,127.66650516824224,15.618249888398802,108217942879242.22,,,,,3.902309472656504e-05,,,,,2.011312154161274e-05,,,,
18,18,1100.0,0.1,2.25,100000.0,,33.0,135.25,0.13525,1100.0,0.3818657628963819,0.0094867347277774,0.0340343416396208,0.178572708388322,0.0089733571450322,-0.0012112875929227,0.0088111380808797,823456155430.3279,,,,,88.59729279580941,11.963542207055315,72838835276526.66,,,,,3.959028428143851e-05,,,,,1.9928803202097e-05,,,,
19,19,1150.0,0.1,2.25,100000.0,,34.5,127.25,0.12725,1150.0,0.3904116099656107,0.0061628797058498,0.0362629610246468,0.2466228850261751,0.0102987215796787,-0.0010445395024245,0.0102811241915581,662475489635.6785,,,,,88.84945013382809,11.27839046181059,58716363406603.81,,,,,3.330814528993053e-05,,,,,2.123454995947428e-05,,,,
20,20,1200.0,0.1,2.25,100000.0,,36.0,131.0,0.1309999999999999,1200.0,0.4286386709144381,0.0076900273646298,0.0472261506991657,0.1509009527310828,0.0075550812596911,-0.0009999357645893,0.0106027103894263,560778314350.8772,,,,,85.41008049853255,11.1716742919828,47823150213245.37,,,,,2.942193061954889e-05,,,,,1.873676679210263e-05,,,,
21,21,1250.0,0.1,2.25,100000.0,,37.5,121.0,0.121,1250.0,0.5129503052855284,0.009558494585636,0.0395636024321001,0.2393388442321172,0.0082357979412087,-0.0010287535620224,0.010717473967217,401187776124.7636,,,,,73.26045302888039,8.87710704136928,29432949027672.9,,,,,2.1929866151238304e-05,,,,,1.39266011089121e-05,,,,
22,22,1300.0,0.1,2.25,100000.0,,39.0,114.0,0.114,1300.0,0.4892248146040288,0.0121744861149368,0.0458318134447083,0.2303448944839441,0.009702788905244,-0.0010591814157046,0.0081171942285578,263310303491.37943,,,,,79.83334104984647,9.097641286589472,21013181475680.51,,,,,1.4967789174321169e-05,,,,,9.466179540887747e-06,,,,
23,23,1350.0,0.1,2.25,100000.0,,40.5,115.0,0.1149999999999999,1350.0,0.5610628309022445,0.008549539336576,0.0365736468316307,0.2383645635556593,0.0079923352486256,-0.001285233987424,0.0099810426376575,,789718205172.4138,,,,72.85080527719865,8.423805497672628,,57847239637769.92,,,,,4.660249087955214e-05,,,,,3.032665416707938e-05,,,
24,24,1400.0,0.1,2.25,100000.0,,42.0,102.25,0.10225,1400.0,0.5186305434772234,0.013109260537885,0.0473954499666488,0.2381969991500296,0.0085881783001806,-0.0013576267822409,0.0092335710193349,,681786744336.7349,,,,81.903631333486,8.342765717439807,,55628235474400.1,,,,,4.170505910809396e-05,,,,,2.7252828838543828e-05,,,
25,25,1450.0,0.1,2.25,100000.0,,43.5,93.0,0.093,1450.0,0.5379591043168938,0.0094092483212813,0.0440650598680111,0.2515372886481532,0.0130804656588505,-0.0012253492250534,0.0116429480589174,,601348431081.0812,,,,81.09531844802626,7.53437154096089,,48718091455255.695,,,,,3.8060645091566114e-05,,,,,2.4800941604366777e-05,,,
26,26,1500.0,0.1,2.25,100000.0,,45.0,79.5,0.0795,1500.0,0.5821501517962153,0.0130811932320031,0.0590706937627766,0.2628692739162495,0.0152442438680647,-0.0011007520250744,0.0096383179206814,,497851782830.385,,,,77.60916046397232,6.15970011216775,,38573807327587.88,,,,,3.254402902655753e-05,,,,,2.1142447513765155e-05,,,
27,27,1550.0,0.1,2.25,100000.0,,46.5,75.25,0.0752499999999999,1550.0,0.6138119502826168,0.0126096441834318,0.0563852220643275,0.268589096155183,0.0164903387446451,-0.0011520322132356,0.0107087409089353,,455543574552.5,,,,76.07117750154477,5.752354192355098,,34823229114651.164,,,,,3.0699729362797445e-05,,,,,2.003692839968419e-05,,,
28,28,1600.0,0.1,2.25,100000.0,,48.0,51.75,0.05175,1600.0,0.6329924684906512,0.013146946282026,0.0522959204615114,0.2456038922394525,0.014077358266149,-0.0010327929562895,0.0095190605005702,,302584578750.0,,,,76.28256743922157,3.98575018482534,,23304860689432.08,,,,,2.097881269942012e-05,,,,,1.366162849628643e-05,,,
29,29,1650.0,0.1,2.25,100000.0,,49.5,39.25,0.03925,1650.0,0.6209557572099782,0.0109717028385726,0.0486328203413267,0.2345254131698942,0.0128173694822924,-0.0009072452789372,0.0110062310234502,,221349186607.3081,,,,80.47876889457821,3.131805716234737,,17661723513393.04,,,,,1.575361702208482e-05,,,,,1.0236936659204167e-05,,,
30,30,1700.0,0.1,2.25,100000.0,,51.0,24.0,0.024,1700.0,0.6037679919113244,0.0124754172838289,0.045509395792933,0.2348032261210038,0.0109752291068554,-0.0010337385378349,0.0068458616718684,,130352484236.98386,,,,84.73111295988883,2.0403246675023143,,11081724544121.863,,,,,9.503045225794508e-06,,,,,6.162509596359005e-06,,,
31,31,1750.0,0.1,2.25,100000.0,,52.5,17.25,0.01725,1750.0,0.6900196673494946,0.011172689030138,0.0535008626121377,0.2795136029386465,0.016648830826974,-0.0009143757752883,0.0111551820286875,,90098746262.95335,,,,76.95040831335314,1.3289081336954212,,6941040970701.372,,,,,6.712115786993044e-06,,,,,4.347744606885715e-06,,,
32,32,1800.0,0.1,2.25,100000.0,,54.0,11.75,0.01175,1800.0,0.7605052741329676,0.0125274818296268,0.0546652355549023,0.2573059506450013,0.0136855101533336,-0.0013042494977874,0.0160541551922146,,58928338505.86755,,,,71.94935612183485,0.8596068300009088,,4311081043425.473,,,,,4.474135819044916e-06,,,,,2.9027880213327468e-06,,,
