,Simulation Number,SU.photonEnergy,ExitSlit.totalHeight,PG.cFactor,SU.numberRays,SourcePhotonFlux,SourceBandwidth,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalDivergenceFWHM,VerticalDivergenceFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,PhotonFlux7,PhotonFlux9,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,FluxPerMilPerBwAbs7,FluxPerMilPerBwAbs9,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,AXUVCurrentAmp7,AXUVCurrentAmp9,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5,GaAsPCurrentAmp7,GaAsPCurrentAmp9
16,16,1000.0,0.1,2.25,100000.0,,30.0,100000.0,100.0,1000.0,29.904704562505287,0.1662389784406196,0.041807577980953,0.0095624231388819,0.0019234916269816,0.0001977310348385,3.314440754669428e-07,772763279605263.1,,,,,1.0031866369932707,100.31866369932706,775225795659094.5,,,,,0.0337532253731859,,,,,0.0177852385541272,,,,
17,17,1050.0,0.1,2.25,100000.0,,31.5,100000.0,100.0,1050.0,31.399340731079576,0.1665715873048187,0.0421662772403907,0.0098616693805416,0.0018736568646451,2.951318080257903e-05,-2.3093917856580356e-05,692894169657422.6,,,,,1.0032057767523404,100.32057767523403,695115433678342.6,,,,,0.0317907085348798,,,,,0.0163854350644502,,,,
18,18,1100.0,0.1,2.25,100000.0,,33.0,100000.0,100.0,1100.0,32.89484094068166,0.1683710448851757,0.0412324017482405,0.0098313775732455,0.0018495147929616,0.0002515875584642,4.083565496105592e-06,608840040983606.5,,,,,1.0031968254750496,100.31968254750495,610786396336853.1,,,,,0.0292719292284203,,,,,0.0147347897982232,,,,
19,19,1150.0,0.1,2.25,100000.0,,34.5,100000.0,100.0,1150.0,34.39021788485252,0.1681228013178896,0.0402278675365509,0.0098471928824235,0.001844743043185,0.0001938664296497,-4.196427979179379e-06,520609422110552.8,,,,,1.0031922484024705,100.31922484024705,522271336706596.25,,,,,0.0261753597563304,,,,,0.0166872691233589,,,,
20,20,1200.0,0.1,2.25,100000.0,,36.0,100000.0,100.0,1200.0,35.88532555548471,0.1645995322206527,0.0401841563452903,0.0098141575591484,0.0017919465299545,9.693104288096756e-05,4.856736845686814e-05,428075049122807.0,,,,,1.0031955804854804,100.31955804854805,429442997396104.9,,,,,0.0224594890225564,,,,,0.0143028754138187,,,,
21,21,1250.0,0.1,2.25,100000.0,,37.5,100000.0,100.0,1250.0,37.38011533967813,0.1688544629208829,0.0389122294558562,0.0100271965665496,0.001784874127085,-9.294666648372644e-05,-3.059024109319477e-05,331560145557655.8,,,,,1.003207177635307,100.32071776353077,332623517841247.6,,,,,0.0181238563233374,,,,,0.0115095876933157,,,,
22,22,1300.0,0.1,2.25,100000.0,,39.0,100000.0,100.0,1300.0,38.87589588312147,0.1662927238632845,0.0384863091605204,0.0097095303412739,0.0017145793517893,9.3075889143825e-05,2.222201849441483e-05,230973950431034.62,,,,,1.0031923153054332,100.31923153054332,231711292108152.0,,,,,0.0131296396265975,,,,,0.0083036662639366,,,,
23,23,1350.0,0.1,2.25,100000.0,,40.5,100000.0,100.0,1350.0,40.37112411041443,0.1661803740858471,0.0381817764387132,0.0098937423550063,0.0017436122005511,-2.8207944340156246e-05,8.154249511975255e-06,,686711482758620.8,,,,1.0031922790269583,100.31922790269586,,688903657422602.6,,,,,0.040523905112654,,,,,0.0263710036235472,,,
24,24,1400.0,0.1,2.25,100000.0,,42.0,100000.0,100.0,1400.0,41.86643161124766,0.1656562121368203,0.0378309444191037,0.0099002413681231,0.0017164700585299,0.0001469015181954,2.3812478121890927e-05,,666784102040816.4,,,,1.0031903457381888,100.3190345738189,,668911373859054.4,,,,,0.0407873438709965,,,,,0.0266531333384291,,,
25,25,1450.0,0.1,2.25,100000.0,,43.5,100000.0,100.0,1450.0,43.36115675982575,0.1628120134960284,0.0374199424953516,0.009936236524963,0.001688409285811,9.43517320654483e-05,4.355331999144706e-05,,646611216216216.2,,,,1.0032020190091775,100.32020190091777,,648681677622088.1,,,,,0.0409254248296409,,,,,0.0266676791444804,,,
26,26,1500.0,0.1,2.25,100000.0,,45.0,100000.0,100.0,1500.0,44.85656777238546,0.1653203847520886,0.0354941490264759,0.0099054146954523,0.0017287460233335,0.0001150407279106,2.4598382972785792e-05,,626228657648283.0,,,,1.0031975747735355,100.31975747735356,,628231070606444.2,,,,,0.0409358855679969,,,,,0.0265942736022203,,,
27,27,1550.0,0.1,2.25,100000.0,,46.5,100000.0,100.0,1550.0,46.35159928828409,0.1629423263860134,0.036952716349362,0.0097385023586023,0.0016863834880489,-0.0001357818437583,1.0910031513561558e-05,,605373521000000.0,,,,1.0032016310381215,100.32016310381216,,607311703654490.5,,,,,0.0407969825419235,,,,,0.0266271473749956,,,
28,28,1600.0,0.1,2.25,100000.0,,48.0,100000.0,100.0,1600.0,47.84715088168531,0.1642725704846358,0.0358620711190626,0.0097435940708459,0.0016592125253313,-0.0001439207314309,-3.937276180710719e-06,,584704500000000.0,,,,1.0031945292676092,100.31945292676092,,586572355638152.9,,,,,0.0405387685012949,,,,,0.0263992821184278,,,
29,29,1650.0,0.1,2.25,100000.0,,49.5,100000.0,100.0,1650.0,49.34262963391359,0.1660187177613301,0.0365288910484574,0.0098425021287764,0.0016813614245261,0.0002103811662863,1.2550606636825964e-05,,563946972247918.6,,,,1.0031893389318334,100.31893389318331,,565745590281998.5,,,,,0.0401366038779231,,,,,0.0260813672845966,,,
30,30,1700.0,0.1,2.25,100000.0,,51.0,100000.0,100.0,1700.0,50.8378451055778,0.1660014727304231,0.0359637465819365,0.0098362832841971,0.0016395023615399,0.0001359510249551,5.599993348863779e-05,,543135350987432.7,,,,1.003189649285284,100.3189649285284,,544867762271522.3,,,,,0.0395960217741437,,,,,0.0256771233181625,,,
31,31,1750.0,0.1,2.25,100000.0,,52.5,100000.0,100.0,1750.0,52.33313056608284,0.1651103245227236,0.0355768925305907,0.0097902733115447,0.0016665454894993,-0.0001086049079285,7.736633033442237e-07,,522311572538860.1,,,,1.0031886003588566,100.31886003588568,,523977015406492.56,,,,,0.0389108161564814,,,,,0.0252043165616563,,,
32,32,1800.0,0.1,2.25,100000.0,,54.0,100000.0,100.0,1800.0,53.82813377740456,0.1626895537279954,0.0350681851713226,0.0098821029675793,0.0016340450283481,6.171766120958367e-05,-1.740382029259341e-05,,501517774518021.8,,,,1.003192869999862,100.3192869999862,,503119055574678.06,,,,,0.038077751651446,,,,,0.0247045789049595,,,
