         151         151          15   549.349976      WAVE
 -1.0000E+00 -1.0000E+00  1.1460E+07  1.7778E-01 -9.3763E-01 -2.9875E-01
 -9.8667E-01 -1.0000E+00  1.6596E+07  6.8042E-01 -7.1904E-01 -1.4144E-01
 -9.7333E-01 -1.0000E+00  9.0337E+06  9.7231E-01 -9.3328E-02 -2.1426E-01
 -9.6000E-01 -1.0000E+00  3.8845E+06 -2.3512E-01  4.7656E-01 -8.4712E-01
 -9.4667E-01 -1.0000E+00  8.6098E+06 -2.4277E-01 -8.4048E-01 -4.8442E-01
 -9.3333E-01 -1.0000E+00  1.2230E+07  4.3378E-01 -8.6714E-01 -2.4474E-01
 -9.2000E-01 -1.0000E+00  8.6440E+06  9.3536E-01 -2.7686E-01 -2.2011E-01
 -9.0667E-01 -1.0000E+00  5.1609E+06  3.1008E-01  7.4170E-01 -5.9475E-01
 -8.9333E-01 -1.0000E+00  6.5941E+06 -6.8816E-01 -8.4818E-02 -7.2058E-01
 -8.8000E-01 -1.0000E+00  8.4355E+06 -2.3544E-01 -8.3641E-01 -4.9497E-01
 -8.6667E-01 -1.0000E+00  7.3746E+06  6.3161E-01 -7.1093E-01 -3.0926E-01
 -8.5333E-01 -1.0000E+00  6.4666E+06  8.5247E-01  3.8908E-01 -3.4916E-01
 -8.4000E-01 -1.0000E+00  7.7351E+06 -8.0417E-02  8.2070E-01 -5.6567E-01
 -8.2667E-01 -1.0000E+00  8.1564E+06 -6.7322E-01  3.0091E-01 -6.7545E-01
 -8.1333E-01 -1.0000E+00  5.8937E+06 -5.1483E-01 -5.3236E-01 -6.7197E-01
 -8.0000E-01 -1.0000E+00  4.6437E+06  7.0755E-01 -5.5716E-01 -4.3468E-01
 -7.8667E-01 -1.0000E+00  7.9756E+06  7.4058E-01  5.8869E-01 -3.2403E-01
 -7.7333E-01 -1.0000E+00  1.2734E+07  1.9399E-01  8.9784E-01 -3.9529E-01
 -7.6000E-01 -1.0000E+00  1.2433E+07 -2.0255E-01  8.4575E-01 -4.9364E-01
 -7.4667E-01 -1.0000E+00  6.5549E+06 -5.4602E-01  4.9047E-01 -6.7919E-01
 -7.3333E-01 -1.0000E+00  2.6778E+06  1.7738E-01 -5.6594E-01 -8.0514E-01
 -7.2000E-01 -1.0000E+00  7.6692E+06  8.5225E-01  4.3791E-01 -2.8618E-01
 -7.0667E-01 -1.0000E+00  1.8546E+07  5.5802E-01  7.9110E-01 -2.5054E-01
 -6.9333E-01 -1.0000E+00  2.4548E+07  3.8256E-01  8.8236E-01 -2.7402E-01
 -6.8000E-01 -1.0000E+00  1.8825E+07  2.3838E-01  9.1555E-01 -3.2396E-01
 -6.6667E-01 -1.0000E+00  6.8517E+06 -1.0816E-02  8.6318E-01 -5.0478E-01
 -6.5333E-01 -1.0000E+00  2.0195E+06  5.5595E-01 -9.9157E-02 -8.2528E-01
 -6.4000E-01 -1.0000E+00  1.2445E+07  8.1794E-01  5.3358E-01 -2.1507E-01
 -6.2667E-01 -1.0000E+00  3.2170E+07  7.0720E-01  6.8520E-01 -1.7428E-01
 -6.1333E-01 -1.0000E+00  4.5579E+07  6.6058E-01  7.3141E-01 -1.6933E-01
 -6.0000E-01 -1.0000E+00  4.1139E+07  6.3307E-01  7.5480E-01 -1.7174E-01
 -5.8667E-01 -1.0000E+00  2.2048E+07  5.9289E-01  7.8219E-01 -1.9147E-01
 -5.7333E-01 -1.0000E+00  4.4936E+06  4.5086E-01  8.1147E-01 -3.7180E-01
 -5.6000E-01 -1.0000E+00  5.0948E+06  8.6735E-01  3.7878E-01 -3.2286E-01
 -5.4667E-01 -1.0000E+00  2.7862E+07  8.3629E-01  5.2566E-01 -1.5586E-01
 -5.3333E-01 -1.0000E+00  6.0717E+07  8.2160E-01  5.5514E-01 -1.2957E-01
 -5.2000E-01 -1.0000E+00  8.3714E+07  8.2181E-01  5.5780E-01 -1.1613E-01
 -5.0667E-01 -1.0000E+00  8.2543E+07  8.2718E-01  5.5220E-01 -1.0421E-01
 -4.9333E-01 -1.0000E+00  5.7875E+07  8.3298E-01  5.4591E-01 -9.0135E-02
 -4.8000E-01 -1.0000E+00  2.4894E+07  8.3173E-01  5.5079E-01 -6.9696E-02
 -4.6667E-01 -1.0000E+00  4.1588E+06  7.6911E-01  6.3238E-01 -9.2543E-02
 -4.5333E-01 -1.0000E+00  1.0011E+07  8.6146E-01  4.5983E-01 -2.1552E-01
 -4.4000E-01 -1.0000E+00  4.3204E+07  8.9064E-01  4.3043E-01 -1.4661E-01
 -4.2667E-01 -1.0000E+00  9.1138E+07  9.0248E-01  4.1359E-01 -1.2033E-01
 -4.1333E-01 -1.0000E+00  1.3454E+08  9.1269E-01  3.9534E-01 -1.0345E-01
 -4.0000E-01 -1.0000E+00  1.5652E+08  9.2247E-01  3.7576E-01 -8.8600E-02
 -3.8667E-01 -1.0000E+00  1.4941E+08  9.3202E-01  3.5509E-01 -7.2436E-02
 -3.7333E-01 -1.0000E+00  1.1705E+08  9.4134E-01  3.3352E-01 -5.1330E-02
 -3.6000E-01 -1.0000E+00  7.2194E+07  9.4992E-01  3.1198E-01 -1.7759E-02
 -3.4667E-01 -1.0000E+00  3.1058E+07  9.5264E-01  2.9974E-01  5.1373E-02
 -3.3333E-01 -1.0000E+00  7.6376E+06  8.8325E-01  4.2314E-01  2.0204E-01
 -3.2000E-01 -1.0000E+00  9.6877E+06  8.2241E-01  5.4498E-01 -1.6319E-01
 -3.0667E-01 -1.0000E+00  3.7403E+07  9.0929E-01  3.7098E-01 -1.8860E-01
 -2.9333E-01 -1.0000E+00  8.4536E+07  9.3825E-01  3.0624E-01 -1.6093E-01
 -2.8000E-01 -1.0000E+00  1.4103E+08  9.5303E-01  2.6833E-01 -1.4049E-01
 -2.6667E-01 -1.0000E+00  1.9608E+08  9.6290E-01  2.3927E-01 -1.2482E-01
 -2.5333E-01 -1.0000E+00  2.4060E+08  9.7047E-01  2.1393E-01 -1.1146E-01
 -2.4000E-01 -1.0000E+00  2.6877E+08  9.7672E-01  1.9034E-01 -9.8959E-02
 -2.2667E-01 -1.0000E+00  2.7846E+08  9.8208E-01  1.6757E-01 -8.6289E-02
 -2.1333E-01 -1.0000E+00  2.7075E+08  9.8675E-01  1.4510E-01 -7.2609E-02
