         151         151          10   499.211517      WAVE
 -1.0000E+00 -1.0000E+00  6.7483E+06 -3.5710E-01 -7.5621E-01 -5.4830E-01
 -9.8667E-01 -1.0000E+00  1.3607E+07  3.4365E-01 -8.9274E-01 -2.9140E-01
 -9.7333E-01 -1.0000E+00  1.2586E+07  7.9783E-01 -5.4487E-01 -2.5803E-01
 -9.6000E-01 -1.0000E+00  6.5138E+06  8.3530E-01  3.3630E-01 -4.3495E-01
 -9.4667E-01 -1.0000E+00  4.8968E+06 -5.2554E-01  3.9204E-01 -7.5506E-01
 -9.3333E-01 -1.0000E+00  8.1238E+06 -4.4841E-01 -6.8794E-01 -5.7067E-01
 -9.2000E-01 -1.0000E+00  9.7444E+06  2.5329E-01 -8.6940E-01 -4.2426E-01
 -9.0667E-01 -1.0000E+00  7.9274E+06  8.6818E-01 -3.3105E-01 -3.6969E-01
 -8.9333E-01 -1.0000E+00  6.4908E+06  5.6945E-01  6.8223E-01 -4.5858E-01
 -8.8000E-01 -1.0000E+00  7.2200E+06 -4.3413E-01  6.6400E-01 -6.0880E-01
 -8.6667E-01 -1.0000E+00  7.6154E+06 -7.2493E-01 -7.7019E-02 -6.8450E-01
 -8.5333E-01 -1.0000E+00  6.2515E+06 -1.7919E-01 -7.1304E-01 -6.7784E-01
 -8.4000E-01 -1.0000E+00  5.6882E+06  8.1312E-01 -3.1081E-01 -4.9217E-01
 -8.2667E-01 -1.0000E+00  8.2582E+06  6.5932E-01  6.6434E-01 -3.5205E-01
 -8.1333E-01 -1.0000E+00  1.1636E+07  8.8354E-02  9.1722E-01 -3.8846E-01
 -8.0000E-01 -1.0000E+00  1.1261E+07 -3.1930E-01  8.0558E-01 -4.9909E-01
 -7.8667E-01 -1.0000E+00  6.7082E+06 -5.7264E-01  3.9391E-01 -7.1897E-01
 -7.7333E-01 -1.0000E+00  3.4183E+06  1.3186E-01 -4.1404E-01 -9.0066E-01
 -7.6000E-01 -1.0000E+00  6.9173E+06  8.6000E-01  3.6502E-01 -3.5659E-01
 -7.4667E-01 -1.0000E+00  1.5949E+07  5.7080E-01  7.8700E-01 -2.3413E-01
 -7.3333E-01 -1.0000E+00  2.2625E+07  3.6834E-01  8.9737E-01 -2.4300E-01
 -7.2000E-01 -1.0000E+00  2.0119E+07  2.2235E-01  9.3069E-01 -2.9049E-01
 -7.0667E-01 -1.0000E+00  1.0213E+07  4.2952E-02  9.0196E-01 -4.2967E-01
 -6.9333E-01 -1.0000E+00  2.7919E+06  5.3423E-02  3.5170E-01 -9.3459E-01
 -6.8000E-01 -1.0000E+00  7.1939E+06  8.5626E-01  4.0644E-01 -3.1878E-01
 -6.6667E-01 -1.0000E+00  2.3243E+07  7.3039E-01  6.6328E-01 -1.6302E-01
 -6.5333E-01 -1.0000E+00  4.0266E+07  6.6318E-01  7.3475E-01 -1.4258E-01
 -6.4000E-01 -1.0000E+00  4.5338E+07  6.3067E-01  7.6316E-01 -1.4087E-01
 -6.2667E-01 -1.0000E+00  3.4010E+07  6.0427E-01  7.8242E-01 -1.5059E-01
 -6.1333E-01 -1.0000E+00  1.4685E+07  5.5075E-01  8.0982E-01 -2.0215E-01
 -6.0000E-01 -1.0000E+00  3.0964E+06  5.2387E-01  6.5422E-01 -5.4549E-01
 -5.8667E-01 -1.0000E+00  1.1035E+07  8.5176E-01  4.7774E-01 -2.1511E-01
 -5.7333E-01 -1.0000E+00  3.7662E+07  8.2482E-01  5.5181E-01 -1.2320E-01
 -5.6000E-01 -1.0000E+00  6.9459E+07  8.1685E-01  5.6811E-01 -1.0006E-01
 -5.4667E-01 -1.0000E+00  8.8606E+07  8.1917E-01  5.6690E-01 -8.7063E-02
 -5.3333E-01 -1.0000E+00  8.4039E+07  8.2514E-01  5.5986E-01 -7.5547E-02
 -5.2000E-01 -1.0000E+00  5.8205E+07  8.3066E-01  5.5329E-01 -6.2241E-02
 -5.0667E-01 -1.0000E+00  2.5795E+07  8.2805E-01  5.5886E-01 -4.4843E-02
 -4.9333E-01 -1.0000E+00  5.7505E+06  7.7891E-01  6.2186E-01 -8.1169E-02
 -4.8000E-01 -1.0000E+00  1.1428E+07  8.5622E-01  4.8150E-01 -1.8722E-01
 -4.6667E-01 -1.0000E+00  4.4151E+07  8.8880E-01  4.4066E-01 -1.2589E-01
 -4.5333E-01 -1.0000E+00  9.2956E+07  9.0133E-01  4.2156E-01 -9.9484E-02
 -4.4000E-01 -1.0000E+00  1.3993E+08  9.1147E-01  4.0294E-01 -8.2854E-02
 -4.2667E-01 -1.0000E+00  1.6802E+08  9.2092E-01  3.8365E-01 -6.8770E-02
 -4.1333E-01 -1.0000E+00  1.6774E+08  9.2993E-01  3.6373E-01 -5.4046E-02
 -4.0000E-01 -1.0000E+00  1.4015E+08  9.3851E-01  3.4339E-01 -3.5726E-02
 -3.8667E-01 -1.0000E+00  9.5614E+07  9.4617E-01  3.2356E-01 -8.6370E-03
 -3.7333E-01 -1.0000E+00  4.9529E+07  9.4990E-01  3.0995E-01  4.0319E-02
 -3.6000E-01 -1.0000E+00  1.7002E+07  9.2523E-01  3.5162E-01  1.4255E-01
 -3.4667E-01 -1.0000E+00  8.4506E+06  8.1354E-01  5.8130E-01  1.5452E-02
 -3.3333E-01 -1.0000E+00  2.7322E+07  8.9070E-01  4.2414E-01 -1.6358E-01
 -3.2000E-01 -1.0000E+00  7.0131E+07  9.3064E-01  3.3446E-01 -1.4848E-01
 -3.0667E-01 -1.0000E+00  1.2831E+08  9.4872E-01  2.8882E-01 -1.2847E-01
 -2.9333E-01 -1.0000E+00  1.9094E+08  9.5978E-01  2.5714E-01 -1.1271E-01
 -2.8000E-01 -1.0000E+00  2.4750E+08  9.6782E-01  2.3107E-01 -9.9631E-02
 -2.6667E-01 -1.0000E+00  2.8984E+08  9.7425E-01  2.0766E-01 -8.7801E-02
 -2.5333E-01 -1.0000E+00  3.1333E+08  9.7966E-01  1.8561E-01 -7.6213E-02
 -2.4000E-01 -1.0000E+00  3.1690E+08  9.8434E-01  1.6425E-01 -6.4070E-02
 -2.2667E-01 -1.0000E+00  3.0250E+08  9.8840E-01  1.4321E-01 -5.0604E-02
 -2.1333E-01 -1.0000E+00  2.7413E+08  9.9188E-01  1.2231E-01 -3.4961E-02
 -2.0000E-01 -1.0000E+00  2.3672E+08  9.9470E-01  1.0153E-01 -1.6069E-02
 -1.8667E-01 -1.0000E+00  1.9527E+08  9.9667E-01  8.1136E-02  7.5137E-03
