         151         151          98   1597.37012      WAVE
 -1.0000E+00 -1.0000E+00  1.4440E+08  8.9084E-01 -4.4898E-01 -6.9518E-02
 -9.8667E-01 -1.0000E+00  8.3440E+07  8.3741E-01 -5.3647E-01 -1.0458E-01
 -9.7333E-01 -1.0000E+00  6.4901E+07  8.1772E-01 -5.7523E-01 -2.1100E-02
 -9.6000E-01 -1.0000E+00  5.4250E+07  8.4456E-01 -5.3266E-01 -5.4685E-02
 -9.4667E-01 -1.0000E+00  2.8973E+07  7.7547E-01 -6.0569E-01 -1.7831E-01
 -9.3333E-01 -1.0000E+00  2.0845E+07  6.8278E-01 -7.2942E-01 -4.1922E-02
 -9.2000E-01 -1.0000E+00  2.3041E+07  7.6845E-01 -6.3870E-01 -3.9316E-02
 -9.0667E-01 -1.0000E+00  1.1806E+07  6.8900E-01 -6.7421E-01 -2.6592E-01
 -8.9333E-01 -1.0000E+00  8.1378E+06  4.7890E-01 -8.7682E-01 -4.2911E-02
 -8.8000E-01 -1.0000E+00  1.1555E+07  6.7220E-01 -7.3816E-01 -5.7161E-02
 -8.6667E-01 -1.0000E+00  4.7296E+06  4.9618E-01 -7.5118E-01 -4.3536E-01
 -8.5333E-01 -1.0000E+00  4.7299E+06  2.8983E-01 -9.5614E-01  4.2272E-02
 -8.4000E-01 -1.0000E+00  6.1816E+06  5.6666E-01 -8.0386E-01 -1.8084E-01
 -8.2667E-01 -1.0000E+00  1.6277E+06 -1.4632E-01 -7.9426E-01 -5.8969E-01
 -8.1333E-01 -1.0000E+00  4.1298E+06  2.5113E-01 -9.6752E-01  2.8979E-02
 -8.0000E-01 -1.0000E+00  2.3333E+06  3.5176E-01 -7.2206E-01 -5.9573E-01
 -7.8667E-01 -1.0000E+00  1.6443E+06 -4.4107E-01 -8.9108E-01  1.0689E-01
 -7.7333E-01 -1.0000E+00  2.7307E+06  2.2939E-01 -9.1201E-01 -3.4002E-01
 -7.6000E-01 -1.0000E+00  7.3303E+05 -9.2039E-01 -4.8532E-02 -3.8799E-01
 -7.4667E-01 -1.0000E+00  2.2413E+06 -1.5402E-01 -9.7288E-01 -1.7257E-01
 -7.3333E-01 -1.0000E+00  6.8978E+05 -2.8146E-01  3.1466E-01 -9.0652E-01
 -7.2000E-01 -1.0000E+00  1.6559E+06 -6.1395E-01 -7.8734E-01 -5.6171E-02
 -7.0667E-01 -1.0000E+00  7.5662E+05  4.0787E-02  1.7063E-01 -9.8449E-01
 -6.9333E-01 -1.0000E+00  1.3352E+06 -9.3090E-01 -3.6527E-01 -2.4923E-03
 -6.8000E-01 -1.0000E+00  7.4411E+05  1.0904E-01  1.7773E-01 -9.7802E-01
 -6.6667E-01 -1.0000E+00  1.2594E+06 -9.9573E-01  8.8882E-02 -2.4848E-02
 -6.5333E-01 -1.0000E+00  6.9477E+05  2.1519E-01  3.7728E-01 -9.0075E-01
 -6.4000E-01 -1.0000E+00  1.3338E+06 -8.9801E-01  4.2385E-01 -1.1803E-01
 -6.2667E-01 -1.0000E+00  6.8634E+05  4.1124E-01  6.6153E-01 -6.2710E-01
 -6.1333E-01 -1.0000E+00  1.4437E+06 -7.2319E-01  6.3533E-01 -2.7086E-01
 -6.0000E-01 -1.0000E+00  8.5801E+05  4.3875E-01  8.8027E-01 -1.8062E-01
 -5.8667E-01 -1.0000E+00  1.3854E+06 -4.8057E-01  7.3807E-01 -4.7360E-01
 -5.7333E-01 -1.0000E+00  1.4486E+06  2.3434E-01  9.7185E-01  2.4544E-02
 -5.6000E-01 -1.0000E+00  9.5527E+05 -8.1570E-02  6.8574E-01 -7.2326E-01
 -5.4667E-01 -1.0000E+00  2.4316E+06  1.3649E-01  9.8852E-01 -6.4769E-02
 -5.3333E-01 -1.0000E+00  6.7037E+05  7.2070E-01  5.3336E-01 -4.4286E-01
 -5.2000E-01 -1.0000E+00  2.6180E+06  1.8124E-01  9.5279E-01 -2.4362E-01
 -5.0667E-01 -1.0000E+00  2.1341E+06  5.6656E-01  8.2402E-01  1.4646E-03
 -4.9333E-01 -1.0000E+00  9.9156E+05  3.7559E-01  7.3573E-01 -5.6359E-01
 -4.8000E-01 -1.0000E+00  4.2151E+06  4.8839E-01  8.6455E-01 -1.1845E-01
 -4.6667E-01 -1.0000E+00  1.6439E+06  7.7412E-01  6.3304E-01 -5.8069E-04
 -4.5333E-01 -1.0000E+00  1.7805E+06  5.1784E-01  7.7567E-01 -3.6081E-01
 -4.4000E-01 -1.0000E+00  5.6358E+06  6.5557E-01  7.4942E-01 -9.2714E-02
 -4.2667E-01 -1.0000E+00  1.9840E+06  8.3531E-01  5.4961E-01  1.3422E-02
 -4.1333E-01 -1.0000E+00  1.6513E+06  6.5342E-01  6.7351E-01 -3.4558E-01
 -4.0000E-01 -1.0000E+00  7.0781E+06  7.4996E-01  6.5310E-01 -1.0497E-01
 -3.8667E-01 -1.0000E+00  4.4125E+06  8.4142E-01  5.4036E-01 -4.9031E-03
 -3.7333E-01 -1.0000E+00  4.3525E+05  8.4572E-01  2.2411E-01 -4.8429E-01
 -3.6000E-01 -1.0000E+00  5.9361E+06  8.0575E-01  5.7165E-01 -1.5489E-01
 -3.4667E-01 -1.0000E+00  9.4249E+06  8.6143E-01  5.0450E-01 -5.8505E-02
 -3.3333E-01 -1.0000E+00  3.4696E+06  9.2193E-01  3.8563E-01  3.6670E-02
 -3.2000E-01 -1.0000E+00  5.7284E+05  8.0395E-01  3.1958E-01 -5.0153E-01
 -3.0667E-01 -1.0000E+00  7.2596E+06  8.8025E-01  4.5200E-01 -1.4440E-01
 -2.9333E-01 -1.0000E+00  1.2318E+07  9.1509E-01  3.9803E-01 -6.4712E-02
 -2.8000E-01 -1.0000E+00  7.6723E+06  9.4339E-01  3.3161E-01  7.7267E-03
 -2.6667E-01 -1.0000E+00  8.7255E+05  9.7596E-01  6.2801E-02  2.0873E-01
 -2.5333E-01 -1.0000E+00  2.0097E+06  8.8156E-01  3.5591E-01 -3.1012E-01
 -2.4000E-01 -1.0000E+00  9.8494E+06  9.3853E-01  3.1879E-01 -1.3242E-01
 -2.2667E-01 -1.0000E+00  1.5340E+07  9.5874E-01  2.7589E-01 -6.8618E-02
 -2.1333E-01 -1.0000E+00  1.3150E+07  9.7243E-01  2.3286E-01 -1.2620E-02
 -2.0000E-01 -1.0000E+00  6.1346E+06  9.8128E-01  1.7669E-01  7.6649E-02
 -1.8667E-01 -1.0000E+00  7.4206E+05  9.0384E-01 -7.9449E-03  4.2780E-01
 -1.7333E-01 -1.0000E+00  8.7249E+05  8.0115E-01  2.8252E-01 -5.2758E-01
 -1.6000E-01 -1.0000E+00  5.8503E+06  9.5329E-01  2.0426E-01 -2.2252E-01
 -1.4667E-01 -1.0000E+00  1.2338E+07  9.7699E-01  1.6100E-01 -1.3993E-01
 -1.3333E-01 -1.0000E+00  1.7162E+07  9.8757E-01  1.2727E-01 -9.2277E-02
 -1.2000E-01 -1.0000E+00  1.8861E+07  9.9378E-01  9.7414E-02 -5.3950E-02
 -1.0667E-01 -1.0000E+00  1.7673E+07  9.9742E-01  6.9914E-02 -1.6527E-02
 -9.3333E-02 -1.0000E+00  1.4727E+07  9.9869E-01  4.4731E-02  2.4662E-02
 -8.0000E-02 -1.0000E+00  1.1238E+07  9.9704E-01  2.3043E-02  7.3351E-02
 -6.6667E-02 -1.0000E+00  8.0658E+06  9.9114E-01  7.7507E-03  1.3262E-01
 -5.3333E-02 -1.0000E+00  5.6159E+06  9.7905E-01  4.0177E-03  2.0356E-01
 -4.0000E-02 -1.0000E+00  3.9575E+06  9.5939E-01  1.8286E-02  2.8147E-01
 -2.6667E-02 -1.0000E+00  2.9770E+06  9.3438E-01  5.2130E-02  3.5244E-01
 -1.3333E-02 -1.0000E+00  2.5147E+06  9.1247E-01  9.2742E-02  3.9848E-01
  0.0000E+00 -1.0000E+00  2.4443E+06  9.0379E-01  1.1547E-01  4.1211E-01
  1.3333E-02 -1.0000E+00  2.7108E+06  9.1092E-01  1.0389E-01  3.9929E-01
  2.6667E-02 -1.0000E+00  3.3345E+06  9.2791E-01  6.1132E-02  3.6775E-01
  4.0000E-02 -1.0000E+00  4.3885E+06  9.4655E-01  1.9978E-03  3.2255E-01
  5.3333E-02 -1.0000E+00  5.9519E+06  9.6144E-01 -5.9516E-02  2.6851E-01
  6.6667E-02 -1.0000E+00  8.0315E+06  9.7079E-01 -1.1574E-01  2.1018E-01
  8.0000E-02 -1.0000E+00  1.0466E+07  9.7492E-01 -1.6436E-01  1.5006E-01
  9.3333E-02 -1.0000E+00  1.2839E+07  9.7471E-01 -2.0545E-01  8.7946E-02
  1.0667E-01 -1.0000E+00  1.4473E+07  9.7081E-01 -2.3892E-01  2.1110E-02
  1.2000E-01 -1.0000E+00  1.4600E+07  9.6334E-01 -2.6242E-01 -5.5776E-02
  1.3333E-01 -1.0000E+00  1.2742E+07  9.5168E-01 -2.6716E-01 -1.5143E-01
  1.4667E-01 -1.0000E+00  9.2036E+06  9.3419E-01 -2.2493E-01 -2.7693E-01
  1.6000E-01 -1.0000E+00  5.3355E+06  9.0997E-01 -4.7006E-02 -4.1199E-01
  1.7333E-01 -1.0000E+00  3.1037E+06  9.0274E-01  3.4392E-01 -2.5843E-01
  1.8667E-01 -1.0000E+00  3.8378E+06  9.4173E-01  2.1532E-01  2.5844E-01
  2.0000E-01 -1.0000E+00  6.8571E+06  9.4378E-01 -1.6671E-01  2.8547E-01
  2.1333E-01 -1.0000E+00  9.4473E+06  9.2228E-01 -3.6644E-01  1.2297E-01
  2.2667E-01 -1.0000E+00  9.0510E+06  8.9383E-01 -4.3683E-01 -1.0126E-01
  2.4000E-01 -1.0000E+00  6.1105E+06  8.7510E-01 -3.0394E-01 -3.7660E-01
  2.5333E-01 -1.0000E+00  4.0226E+06  9.2877E-01  1.6689E-01 -3.3095E-01
  2.6667E-01 -1.0000E+00  5.0302E+06  9.7302E-01  9.9727E-02  2.0803E-01
  2.8000E-01 -1.0000E+00  6.9020E+06  9.1127E-01 -3.2075E-01  2.5826E-01
  2.9333E-01 -1.0000E+00  6.1944E+06  8.2760E-01 -5.5975E-01 -4.1892E-02
  3.0667E-01 -1.0000E+00  4.1725E+06  8.2915E-01 -2.9215E-01 -4.7661E-01
  3.2000E-01 -1.0000E+00  4.6466E+06  9.8381E-01  1.4692E-01 -1.0259E-01
  3.3333E-01 -1.0000E+00  6.1525E+06  9.4513E-01 -1.8366E-01  2.7018E-01
  3.4667E-01 -1.0000E+00  4.6103E+06  7.7915E-01 -6.2031E-01  9.0285E-02
  3.6000E-01 -1.0000E+00  3.0272E+06  7.8239E-01 -3.0731E-01 -5.4168E-01
  3.7333E-01 -1.0000E+00  5.2772E+06  9.9922E-01  3.2756E-02 -2.1925E-02
  3.8667E-01 -1.0000E+00  5.5444E+06  8.9957E-01 -3.4345E-01  2.6983E-01
  4.0000E-01 -1.0000E+00  2.2194E+06  5.9023E-01 -7.7376E-01 -2.3005E-01
  4.1333E-01 -1.0000E+00  3.8361E+06  9.6488E-01 -8.3463E-03 -2.6255E-01
  4.2667E-01 -1.0000E+00  5.9987E+06  9.4773E-01 -2.5503E-01  1.9172E-01
  4.4000E-01 -1.0000E+00  1.8910E+06  5.5613E-01 -8.2891E-01  6.0305E-02
  4.5333E-01 -1.0000E+00  3.1064E+06  9.5032E-01 -6.3394E-02 -3.0474E-01
  4.6667E-01 -1.0000E+00  5.8276E+06  9.3392E-01 -3.2104E-01  1.5722E-01
  4.8000E-01 -1.0000E+00  1.0869E+06  3.7261E-01 -9.2798E-01  3.9311E-03
  4.9333E-01 -1.0000E+00  3.7224E+06  9.7470E-01 -1.6180E-01 -1.5422E-01
  5.0667E-01 -1.0000E+00  4.6351E+06  8.5855E-01 -4.8096E-01  1.7766E-01
  5.2000E-01 -1.0000E+00  4.4893E+05  2.7748E-01 -3.5701E-01 -8.9194E-01
  5.3333E-01 -1.0000E+00  5.1889E+06  9.2721E-01 -3.7441E-01  9.7915E-03
  5.4667E-01 -1.0000E+00  1.6072E+06  5.9423E-01 -7.7381E-01  2.1933E-01
  5.6000E-01 -1.0000E+00  2.4470E+06  9.4147E-01 -2.9627E-01 -1.6080E-01
  5.7333E-01 -1.0000E+00  3.8591E+06  7.6127E-01 -6.4128E-01  9.6089E-02
  5.8667E-01 -1.0000E+00  4.4011E+05  8.6838E-01  7.0909E-03 -4.9585E-01
  6.0000E-01 -1.0000E+00  4.4757E+06  7.6339E-01 -6.4580E-01  1.2871E-02
  6.1333E-01 -1.0000E+00  8.8009E+04 -7.9402E-01 -5.7052E-01 -2.0985E-01
  6.2667E-01 -1.0000E+00  3.8702E+06  7.1660E-01 -6.9664E-01 -3.4232E-02
  6.4000E-01 -1.0000E+00  3.8818E+05  6.9017E-02 -9.9699E-01 -3.5252E-02
  6.5333E-01 -1.0000E+00  3.0786E+06  6.2373E-01 -7.7956E-01 -5.6925E-02
  6.6667E-01 -1.0000E+00  5.8300E+05  7.9395E-02 -9.7481E-01 -2.0845E-01
  6.8000E-01 -1.0000E+00  2.5541E+06  4.6030E-01 -8.8459E-01 -7.5020E-02
  6.9333E-01 -1.0000E+00  5.0291E+05 -1.3500E-01 -8.8826E-01 -4.3906E-01
  7.0667E-01 -1.0000E+00  2.3182E+06  1.9954E-01 -9.7149E-01 -1.2803E-01
  7.2000E-01 -1.0000E+00  2.7766E+05 -4.9966E-01 -4.3090E-01 -7.5145E-01
  7.3333E-01 -1.0000E+00  2.2237E+06 -1.5468E-01 -9.5200E-01 -2.6414E-01
  7.4667E-01 -1.0000E+00  1.4961E+05 -6.8294E-01  7.2745E-01 -6.6424E-02
  7.6000E-01 -1.0000E+00  2.0824E+06 -5.0736E-01 -6.8965E-01 -5.1669E-01
  7.7333E-01 -1.0000E+00  4.0384E+05 -7.9778E-01 -5.1182E-02  6.0078E-01
  7.8667E-01 -1.0000E+00  1.7480E+06 -5.8335E-01 -7.5103E-02 -8.0874E-01
  8.0000E-01 -1.0000E+00  1.2897E+06 -9.9930E-01  5.8017E-03 -3.6981E-02
  8.1333E-01 -1.0000E+00  1.2812E+06 -7.0570E-02  7.2688E-01 -6.8313E-01
  8.2667E-01 -1.0000E+00  2.7709E+06 -7.0755E-01  4.9803E-01 -5.0134E-01
  8.4000E-01 -1.0000E+00  1.5271E+06 -3.2921E-02  9.8344E-01  1.7819E-01
  8.5333E-01 -1.0000E+00  3.8707E+06 -1.6206E-02  8.1468E-01 -5.7969E-01
  8.6667E-01 -1.0000E+00  4.4835E+06 -2.1065E-01  9.6893E-01 -1.2962E-01
  8.8000E-01 -1.0000E+00  4.3597E+06  4.8742E-01  8.7083E-01 -6.3919E-02
  8.9333E-01 -1.0000E+00  9.1402E+06  2.8427E-01  8.9872E-01 -3.3391E-01
  9.0667E-01 -1.0000E+00  1.0492E+07  3.1180E-01  9.5014E-01  4.5592E-03
  9.2000E-01 -1.0000E+00  1.2344E+07  6.5972E-01  7.5096E-01 -2.8778E-02
  9.3333E-01 -1.0000E+00  2.2907E+07  5.7821E-01  7.9990E-01 -1.6073E-01
  9.4667E-01 -1.0000E+00  3.0265E+07  5.9565E-01  8.0279E-01  2.7053E-02
  9.6000E-01 -1.0000E+00  3.7029E+07  7.6200E-01  6.4530E-01  5.4219E-02
  9.7333E-01 -1.0000E+00  6.2848E+07  7.6954E-01  6.3702E-01 -4.4800E-02
  9.8667E-01 -1.0000E+00  9.5675E+07  7.6190E-01  6.4689E-01  3.2238E-02
  1.0000E+00 -1.0000E+00  1.2337E+08  8.2882E-01  5.5160E-01  9.3779E-02
 -1.0000E+00 -9.8667E-01  9.0803E+07  8.6987E-01 -4.8352E-01 -9.7693E-02
 -9.8667E-01 -9.8667E-01  6.9627E+07  8.5163E-01 -5.2366E-01 -2.2655E-02
 -9.7333E-01 -9.8667E-01  5.8650E+07  8.7458E-01 -4.8288E-01 -4.4035E-02
 -9.6000E-01 -9.8667E-01  3.2697E+07  8.2773E-01 -5.3806E-01 -1.5922E-01
 -9.4667E-01 -9.8667E-01  2.1469E+07  7.3137E-01 -6.7888E-01 -6.4971E-02
 -9.3333E-01 -9.8667E-01  2.4470E+07  8.0123E-01 -5.9812E-01 -1.6734E-02
 -9.2000E-01 -9.8667E-01  1.4613E+07  7.7647E-01 -5.9545E-01 -2.0625E-01
 -9.0667E-01 -9.8667E-01  7.7241E+06  5.3731E-01 -8.3400E-01 -1.2544E-01
 -8.9333E-01 -9.8667E-01  1.2135E+07  7.0184E-01 -7.1230E-01 -6.4620E-03
 -8.8000E-01 -9.8667E-01  6.8468E+06  6.7897E-01 -6.6722E-01 -3.0630E-01
 -8.6667E-01 -9.8667E-01  3.7072E+06  2.6818E-01 -9.6029E-01 -7.6968E-02
 -8.5333E-01 -9.8667E-01  7.2058E+06  6.0539E-01 -7.9401E-01 -5.5283E-02
 -8.4000E-01 -9.8667E-01  2.5696E+06  4.0320E-01 -7.0988E-01 -5.7749E-01
 -8.2667E-01 -9.8667E-01  3.1713E+06  1.6493E-01 -9.8299E-01  8.0868E-02
 -8.1333E-01 -9.8667E-01  3.9124E+06  5.0645E-01 -8.1639E-01 -2.7751E-01
 -8.0000E-01 -9.8667E-01  9.5427E+05 -6.0117E-01 -6.7753E-01 -4.2373E-01
 -7.8667E-01 -9.8667E-01  3.2527E+06  2.1098E-01 -9.7530E-01 -6.5344E-02
 -7.7333E-01 -9.8667E-01  1.0376E+06  7.2902E-02 -3.8672E-01 -9.1931E-01
 -7.6000E-01 -9.8667E-01  1.8744E+06 -3.1955E-01 -9.4272E-01  9.5730E-02
 -7.4667E-01 -9.8667E-01  1.4206E+06  2.0289E-01 -6.6423E-01 -7.1947E-01
 -7.3333E-01 -9.8667E-01  1.0433E+06 -8.7535E-01 -4.5392E-01  1.6648E-01
 -7.2000E-01 -9.8667E-01  1.4407E+06 -4.7652E-02 -7.9004E-01 -6.1120E-01
 -7.0667E-01 -9.8667E-01  7.6235E+05 -9.4806E-01  3.0320E-01  9.6160E-02
 -6.9333E-01 -9.8667E-01  1.2734E+06 -3.7648E-01 -7.1014E-01 -5.9496E-01
 -6.8000E-01 -9.8667E-01  7.4184E+05 -6.6172E-01  7.4897E-01  3.4212E-02
 -6.6667E-01 -9.8667E-01  1.1036E+06 -6.1195E-01 -4.4539E-01 -6.5356E-01
 -6.5333E-01 -9.8667E-01  8.4981E+05 -4.4341E-01  8.9476E-01  5.2852E-02
 -6.4000E-01 -9.8667E-01  9.5820E+05 -6.2633E-01 -9.7704E-02 -7.7341E-01
 -6.2667E-01 -9.8667E-01  1.0932E+06 -3.6660E-01  9.2818E-01  6.3926E-02
 -6.1333E-01 -9.8667E-01  7.8835E+05 -3.4924E-01  2.0774E-01 -9.1372E-01
 -6.0000E-01 -9.8667E-01  1.5039E+06 -3.3372E-01  9.4257E-01 -1.3905E-02
 -5.8667E-01 -9.8667E-01  6.1432E+05  2.8184E-01  4.3027E-01 -8.5757E-01
 -5.7333E-01 -9.8667E-01  1.9239E+06 -2.5096E-01  9.5317E-01 -1.6876E-01
 -5.6000E-01 -9.8667E-01  8.0239E+05  6.4521E-01  7.3574E-01 -2.0588E-01
 -5.4667E-01 -9.8667E-01  1.7607E+06 -1.0235E-01  9.2165E-01 -3.7428E-01
