Energy[keV],Photon_to_nAmp_BestOf,Photon_to_nAmp_oxidized,Photon_to_nAmp_thin
0.0244,1097661958.59962,1097661958.59962,1099156972.98149
0.0245,1090934672.39657,1090934672.39657,1092420524.22202
0.0246,1084595712.41035,1084595712.41035,1086072930.57926
0.0247,1078406754.23314,1078406754.23314,1079875543.04781
0.0248,1071862649.93923,1071862649.93923,1073322525.69105
0.0249,1065334752.26114,1065334752.26114,1066785737.02349
0.025,1059317563.66296,1059317563.66296,1060760353.02105
0.0251,1052328828.58783,1052328828.58783,1053762099.29642
0.0252,1044880759.0411,1044880759.0411,1046303885.48715
0.0253,1037468222.30166,1037468222.30166,1038881252.88082
0.0254,1030609866.36368,1030609866.36368,1032013555.86958
0.0255,1023820094.54974,1023820094.54974,1025214536.39389
0.0256,1016801059.35359,1016801059.35359,1018185941.27951
0.0257,1010022402.07881,1010022402.07881,1011398051.48097
0.0258,1003270307.26167,1003270307.26167,1004636760.3181
0.0259,998030815.291621,998030815.291621,999390132.165747
0.026,992876404.662559,992876404.662559,994228701.235071
0.0261,987601784.013072,987601784.013072,988946896.558053
0.0262,982493322.555077,982493322.555077,983831477.381164
0.0263,977749492.616968,977749492.616968,979081186.35189
0.0264,973083717.032569,973083717.032569,974409055.98627
0.0265,968136580.739664,968136580.739664,969455181.699168
0.0266,963150902.012155,963150902.012155,964462712.482709
0.0267,958599240.0475,958599240.0475,959904851.159457
0.0268,954122483.128341,954122483.128341,955421996.902293
0.0269,949641829.876643,949641829.876643,950935241.005788
0.027,944848494.978996,944848494.978996,946135377.591276
0.0271,940132334.788404,940132334.788404,941412793.995684
0.0272,935797390.517334,935797390.517334,937071945.535279
