Energy[keV],Photon_to_nAmp
3,17036600
3.01,17036800
3.02,17037300
3.03,17038200
3.04,17039500
3.05,17041200
3.06,17043300
3.07,17045900
3.08,17048600
3.09,17051800
3.1,17044500
3.12,17041900
3.14,17039200
3.16,17036600
3.18,17039500
3.2,17043600
3.22,17047700
3.24,17053200
3.26,17063600
3.28,17074200
3.3,17084600
3.32,17098700
3.34,17115000
3.36,17131700
3.38,17148600
3.4,17170400
3.42,17192800
3.44,17215300
3.46,17239600
3.48,17267500
3.5,17295700
3.52,17323900
3.54,17355500
3.56,17388900
3.58,17422500
3.6,17456300
3.62,17494800
3.64,17533700
3.66,17572800
3.68,17613300
3.7,17657300
3.72,17701300
3.74,17745600
3.76,17793200
3.78,17842200
3.8,17891300
3.82,17941400
3.84,17995100
3.86,18048800
3.88,18103100
3.9,18159600
3.92,18218300
3.94,18277100
3.96,18336900
3.98,18399300
4,18462700
4.02,18527200
4.04,18592300
4.06,18660300
4.08,18728800
4.1,18797600
4.12,18868600
4.14,18941600
4.16,19014900
4.18,19089100
4.2,19166200
4.22,19244100
4.24,19322500
4.26,19402000
4.28,19484000
4.3,19566800
4.32,19650300
4.34,19735500
4.36,19822500
4.38,19910100
4.4,19998400
4.42,20089700
4.44,20181300
4.46,20273700
4.48,20367800
4.5,20463200
4.52,20560000
4.56,20756900
4.58,20857300
4.6,20959100
4.62,21061500
4.64,21165900
4.66,21271100
4.68,21378100
4.7,21485400
4.72,21594600
4.74,21705200
4.76,21816400
4.78,21929300
4.8,22043100
4.82,22158300
4.84,22274800
4.86,22391900
4.88,22510800
4.9,22631000
4.92,22752200
4.94,22874400
4.96,22997700
4.98,23122500
5,23248400
5.02,23375000
5.04,23503400
5.06,23632800
5.08,23762700
5.1,23894300
5.12,24027400
5.14,24161000
5.16,24295400
5.18,24432000
5.2,24569400
5.22,24706500
5.24,24846000
5.28,25128200
5.3,25269800
5.32,25413800
5.34,25558300
5.36,25703600
5.4,25997100
5.42,26146700
5.44,26295200
5.46,26445400
5.48,26597300
5.5,26749300
5.52,26901800
5.54,27055600
5.56,27211600
5.58,27366400
5.6,27522400
5.62,27680700
5.64,27839500
5.66,27997800
5.68,28157900
5.7,28318900
5.72,28480300
5.74,28641700
5.76,28805300
5.78,28970500
5.8,29133500
5.82,29298300
5.84,29464500
5.86,29631600
5.88,29797400
5.9,29964500
5.92,30134200
5.94,30301900
5.96,30471000
5.98,30640900
6,30813800
6.02,30983100
6.04,31153600
6.06,31327100
6.08,31499700
6.1,31671300
6.12,31845400
6.14,32020800
6.16,32193800
6.18,32366900
6.2,32542400
6.22,32719400
6.24,32892500
6.26,33068700
6.28,33245500
6.3,33422200
6.32,33597500
6.34,33776000
6.36,33954500
6.38,34130600
6.4,34307900
6.42,34486400
6.44,34665400
6.48,35020300
6.52,35379400
6.54,35556700
6.56,35735700
6.58,35917300
6.6,36094600
6.62,36273700
6.64,36453800
6.66,36634100
6.68,36812100
6.7,36992000
6.72,37173600
6.74,37353700
6.76,37532300
6.78,37713400
6.8,37894600
6.82,38073300
6.84,38254500
6.86,38434900
6.88,38616200
6.9,38795500
6.92,38975700
6.94,39159300
6.96,39339300
6.98,39519000
7,39701300
7.02,39883500
7.04,40064600
7.06,40244400
7.08,40428700
7.1,40610800
7.12,40792700
7.14,40975200
7.16,41159200
7.18,41341100
7.2,41524400
7.22,41708400
7.24,41895200
7.26,42077300
7.28,42262000
7.3,42448400
7.32,42635400
7.34,42820700
7.36,43006700
7.38,43196400
7.42,43570900
7.44,43762300
7.46,43952000
7.48,44142100
7.5,44331500
7.52,44525200
7.54,44719100
7.56,44911300
7.58,45107400
7.6,45304200
7.62,45500300
7.64,45698000
7.66,45897500
7.68,46097400
7.7,46299100
7.72,46501200
7.74,46705200
7.76,46910900
7.78,47116000
7.8,47326700
7.82,47535300
7.84,47745700
7.86,47959600
7.88,48173700
7.9,48391200
7.92,48608100
7.94,48828100
7.96,49050400
7.98,49273000
8,49500800
8.02,49726000
8.04,49957800
8.06,50190500
8.08,50423600
8.1,50660600
8.12,50901200
8.14,51142800
8.16,51388000
8.18,51634000
8.2,51884200
8.22,52138200
8.24,52391400
8.26,52650400
8.28,52910600
8.3,53174800
8.32,53441600
8.34,53711200
8.36,53986900
8.38,54262000
8.4,54539900
8.42,54824300
8.44,55111600
8.46,55402000
8.48,55695400
8.5,55993900
8.52,56293300
8.54,56600100
8.56,56908400
8.58,57221700
8.6,57536700
8.62,57857300
8.64,58179400
8.66,58506900
8.68,58840500
8.7,59175400
8.72,59516700
8.74,59859500
8.76,60208700
8.78,60557600
8.8,60916900
8.82,61274100
8.84,61639700
8.88,62380300
8.9,62754500
8.92,63136100
8.94,63519900
8.96,63905900
8.98,64301200
9,64691800
9.02,65092300
9.04,65495200
9.06,65903100
9.08,66308600
9.1,66718700
9.12,67136600
9.14,67554800
9.16,67972600
9.18,68395700
9.2,68823600
9.22,69243400
9.24,69668000
9.26,70101200
9.28,70530300
9.3,70956700
9.32,71387800
