Simulation Number,Dipole.photonEnergy,ExitSlit.openingHeight,PG.cFactor,Dipole.numberRays,M1.roughnessSubstrate,M1.roughnessCoating1,PremirrorM2.roughnessSubstrate,PremirrorM2.roughnessCoating1,PG.roughnessSubstrate,M3.roughnessSubstrate,M3.roughnessCoating1,KB1.roughnessSubstrate,KB1.roughnessCoating1,KB2.roughnessSubstrate,KB2.roughnessCoating1
327,2000,0.1,5,50000,0,0,0,0,0,0.3,0.3,0,0,0,0
328,2000,0.1,5,50000,0,0,0,0,0,0.5,0.5,0,0,0,0
329,2000,0.1,5,50000,0,0,0,0,0,1.5,1.5,0,0,0,0
330,2000,0.1,5,50000,0,0,0,0,0,0,0,0.1,0.1,0,0
331,2000,0.1,5,50000,0,0,0,0,0,0,0,0.3,0.3,0,0
332,2000,0.1,5,50000,0,0,0,0,0,0,0,0.5,0.5,0,0
333,2000,0.1,5,50000,0,0,0,0,0,0,0,1.5,1.5,0,0
334,2000,0.1,5,50000,0,0,0,0,0,0,0,0,0,0.1,0.1
335,2000,0.1,5,50000,0,0,0,0,0,0,0,0,0,0.3,0.3
336,2000,0.1,5,50000,0,0,0,0,0,0,0,0,0,0.5,0.5
337,2000,0.1,5,50000,0,0,0,0,0,0,0,0,0,1.5,1.5
338,2000,0.05,5,50000,0,0,0,0,0,0,0,0,0,0,0
339,2000,0.05,5,50000,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
340,2000,0.05,5,50000,0.1,0.1,0,0,0,0,0,0,0,0,0
341,2000,0.05,5,50000,0.3,0.3,0,0,0,0,0,0,0,0,0
342,2000,0.05,5,50000,0.5,0.5,0,0,0,0,0,0,0,0,0
343,2000,0.05,5,50000,1.5,1.5,0,0,0,0,0,0,0,0,0
344,2000,0.05,5,50000,0,0,0.1,0.1,0,0,0,0,0,0,0
345,2000,0.05,5,50000,0,0,0.3,0.3,0,0,0,0,0,0,0
346,2000,0.05,5,50000,0,0,0.5,0.5,0,0,0,0,0,0,0
347,2000,0.05,5,50000,0,0,1.5,1.5,0,0,0,0,0,0,0
348,2000,0.05,5,50000,0,0,0,0,0.1,0,0,0,0,0,0
349,2000,0.05,5,50000,0,0,0,0,0.3,0,0,0,0,0,0
350,2000,0.05,5,50000,0,0,0,0,0.5,0,0,0,0,0,0
351,2000,0.05,5,50000,0,0,0,0,1.5,0,0,0,0,0,0
352,2000,0.05,5,50000,0,0,0,0,0,0.1,0.1,0,0,0,0
353,2000,0.05,5,50000,0,0,0,0,0,0.3,0.3,0,0,0,0
354,2000,0.05,5,50000,0,0,0,0,0,0.5,0.5,0,0,0,0
355,2000,0.05,5,50000,0,0,0,0,0,1.5,1.5,0,0,0,0
356,2000,0.05,5,50000,0,0,0,0,0,0,0,0.1,0.1,0,0
357,2000,0.05,5,50000,0,0,0,0,0,0,0,0.3,0.3,0,0
358,2000,0.05,5,50000,0,0,0,0,0,0,0,0.5,0.5,0,0
359,2000,0.05,5,50000,0,0,0,0,0,0,0,1.5,1.5,0,0
360,2000,0.05,5,50000,0,0,0,0,0,0,0,0,0,0.1,0.1
361,2000,0.05,5,50000,0,0,0,0,0,0,0,0,0,0.3,0.3
362,2000,0.05,5,50000,0,0,0,0,0,0,0,0,0,0.5,0.5
363,2000,0.05,5,50000,0,0,0,0,0,0,0,0,0,1.5,1.5
