Simulation Number,Dipole.photonEnergy,ExitSlit.totalHeight,PG.cFactor,M1.reflectivityType,PremirrorM2.reflectivityType,PG.reflectivityType,M3.reflectivityType,KB1.reflectivityType,KB2.reflectivityType,Dipole_outgoingMaxF_X,Dipole_outgoingMinF_X,Dipole_outgoingMaxF_Y,Dipole_outgoingMinF_Y,Dipole_intensityH_width_X,Dipole_intensityH_centerWidth_X,Dipole_intensityH_centerMass_X,Dipole_intensityH_width_Y,Dipole_intensityH_centerWidth_Y,Dipole_intensityH_centerMass_Y,Dipole_energyH_width,Dipole_energyH_centerWidth,Dipole_energyH_centerMass,Dipole_pathlengthH_width,Dipole_pathlengthH_centerWidth,Dipole_pathlengthH_centerMass,Dipole_phi_width,Dipole_phi_centerWidth,Dipole_phi_centerMass,Dipole_psi_width,Dipole_psi_centerWidth,Dipole_psi_centerMass,Dipole_incoming_NO,Dipole_absorbed_NO,Dipole_outgoing_NO,Dipole_incoming_R,Dipole_absorbed_R,Dipole_outgoing_R,Dipole_efficiency,Dipole_S1S0,Dipole_S2S0,Dipole_S3S0,Dipole_focus_horizontal_z0,Dipole_focus_horizontal_width,Dipole_focus_horizontal_theta,Dipole_focus_horizontal_depth,Dipole_focus_horizontal_x0,Dipole_focus_horizontal_phi0,Dipole_focus_vertical_z0,Dipole_focus_vertical_width,Dipole_focus_vertical_theta,Dipole_focus_vertical_depth,Dipole_focus_horizontal_y0,Dipole_focus_horizontal_psi0
0,1000,0.1,2.5,1,1,1,1,1,1,0.248670813659128,-0.264178054314915,0.178293294041868,-0.175349232124787,0.144392331315745,-0.0009329910578011,-0.0026759087637938,0.0938262710453452,0.0005493407678089,0.0014720309585403,0.99998446912025,1000.00000465265,1000.00000465265,0.0,0.0,0.0,0.114589232368402,-3.46925464272951e-07,-3.46925464272951e-07,0.043809572240378,7.30269108158189e-05,-0.0002275441147323,100000.0,0.0,100000.0,100.0,0.0,100.0,100.0,0.737,0.0,0.0,-0.563697,0.0619775,0.000577138,214.776,-3.65654e-07,6.48671e-07,-1.32161,0.0399203,0.000256706,311.019,-4.87193e-07,3.68634e-07
1,1500,0.1,2.5,1,1,1,1,1,1,0.276161623522565,-0.27887128517713,0.170912541937617,-0.162393029289121,0.145137376438236,-0.0003855651005974,-0.0013548308272826,0.0922866677086719,-0.000127040150486,0.0009597011635872,1.4999390725236,1500.00001911924,1500.00001911924,0.0,0.0,0.0,0.114590608802338,-2.91242734672126e-07,-2.91242734672126e-07,0.035951747762415,3.47847026335273e-05,-0.0003493739464123,100000.0,0.0,100000.0,100.0,0.0,100.0,100.0,0.776,0.0,-0.002,0.000978813,0.0618695,0.000576408,214.673,2.4739e-09,2.52745e-06,0.480422,0.039914,0.000215896,369.752,8.97e-08,1.86711e-07
2,2000,0.1,2.5,1,1,1,1,1,1,0.253649851447599,-0.266398675073492,0.175233140952552,-0.174357710887464,0.144279262069315,-0.0006200417663063,-0.0012254165008563,0.092979225056843,-0.0005399814353756,0.0004377150325439,1.99986563499078,1999.99994275978,1999.99994275978,0.0,0.0,0.0,0.11459004685252,2.63798776906077e-07,2.63798776906077e-07,0.0316042396121389,-3.07286560128212e-05,-0.0003240023590867,100000.0,0.0,100000.0,100.0,0.0,100.0,100.0,0.803,0.0,0.002,0.495817,0.0620303,0.000574883,215.802,6.84839e-07,1.38123e-06,-1.14504,0.040057,0.000190458,420.639,-4.76221e-07,4.159e-07
