         151         151         252   600.000000      WAVE
 -1.0000E+00 -1.0000E+00  3.2633E+06  5.1704E-01 -5.8179E-01 -6.2785E-01
 -9.8667E-01 -1.0000E+00  6.5743E+06 -2.0202E-01 -9.6230E-01 -1.8213E-01
 -9.7333E-01 -1.0000E+00  5.2402E+06 -1.5869E-01 -8.4148E-01  5.1646E-01
 -9.6000E-01 -1.0000E+00  2.0785E+06  8.4898E-01 -3.7192E-01  3.7539E-01
 -9.4667E-01 -1.0000E+00  3.1465E+06 -1.6222E-01 -7.6236E-01 -6.2649E-01
 -9.3333E-01 -1.0000E+00  5.5045E+06 -6.4825E-01 -7.3290E-01  2.0647E-01
 -9.2000E-01 -1.0000E+00  4.1059E+06 -2.5218E-01 -4.8567E-01  8.3697E-01
 -9.0667E-01 -1.0000E+00  1.5047E+06  8.8612E-01 -4.3221E-01  1.6727E-01
 -8.9333E-01 -1.0000E+00  2.5477E+06 -7.5643E-01 -4.9237E-01 -4.3056E-01
 -8.8000E-01 -1.0000E+00  5.2374E+06 -8.4126E-01 -1.7136E-01  5.1275E-01
 -8.6667E-01 -1.0000E+00  4.3800E+06 -3.1236E-01 -3.5717E-02  9.4929E-01
 -8.5333E-01 -1.0000E+00  1.2719E+06  7.4906E-01 -4.2220E-01  5.1054E-01
 -8.4000E-01 -1.0000E+00  1.8040E+06 -9.5200E-01  7.2213E-02 -2.9746E-01
 -8.2667E-01 -1.0000E+00  5.7450E+06 -6.7852E-01  4.3283E-01  5.9352E-01
 -8.1333E-01 -1.0000E+00  6.4064E+06 -2.5373E-01  4.3429E-01  8.6430E-01
 -8.0000E-01 -1.0000E+00  2.3129E+06  3.0078E-01  1.1486E-01  9.4675E-01
 -7.8667E-01 -1.0000E+00  6.6996E+05 -7.4889E-01  1.6767E-01 -6.4113E-01
 -7.7333E-01 -1.0000E+00  5.5552E+06 -3.2789E-01  8.0796E-01  4.8959E-01
 -7.6000E-01 -1.0000E+00  1.0260E+07 -2.1316E-02  7.3725E-01  6.7528E-01
 -7.4667E-01 -1.0000E+00  7.3749E+06  1.9759E-01  6.1216E-01  7.6565E-01
 -7.3333E-01 -1.0000E+00  1.1243E+06  4.3747E-01  3.4130E-02  8.9858E-01
 -7.2000E-01 -1.0000E+00  1.9775E+06 -1.0042E-01  9.7420E-01  2.0210E-01
 -7.0667E-01 -1.0000E+00  1.0923E+07  2.4708E-01  8.3961E-01  4.8374E-01
 -6.9333E-01 -1.0000E+00  1.6901E+07  3.7224E-01  7.5144E-01  5.4477E-01
 -6.8000E-01 -1.0000E+00  1.1789E+07  4.5337E-01  6.6583E-01  5.9256E-01
 -6.6667E-01 -1.0000E+00  2.1866E+06  4.6437E-01  4.5906E-01  7.5739E-01
