         151         151         214   329.052643      WAVE
 -1.0000E+00 -1.0000E+00  1.2366E+07  1.5959E-01  2.3076E-01  9.5983E-01
 -9.8667E-01 -1.0000E+00  2.4794E+07  2.4053E-01  5.0860E-01  8.2672E-01
 -9.7333E-01 -1.0000E+00  3.0852E+07  3.4215E-01  6.4277E-01  6.8540E-01
 -9.6000E-01 -1.0000E+00  2.5331E+07  4.5683E-01  7.2251E-01  5.1893E-01
 -9.4667E-01 -1.0000E+00  1.2602E+07  6.3550E-01  7.2953E-01  2.5282E-01
 -9.3333E-01 -1.0000E+00  3.8134E+06  9.9445E-01  9.9174E-02 -3.5261E-02
 -9.2000E-01 -1.0000E+00  8.2571E+06  5.7255E-01  7.3414E-03  8.1984E-01
 -9.0667E-01 -1.0000E+00  2.5704E+07  5.1240E-01  3.9248E-01  7.6381E-01
 -8.9333E-01 -1.0000E+00  4.5803E+07  5.4970E-01  5.3041E-01  6.4537E-01
 -8.8000E-01 -1.0000E+00  5.5201E+07  5.9598E-01  5.9798E-01  5.3594E-01
 -8.6667E-01 -1.0000E+00  4.7232E+07  6.4774E-01  6.3825E-01  4.1601E-01
 -8.5333E-01 -1.0000E+00  2.7171E+07  7.2195E-01  6.4818E-01  2.4220E-01
 -8.4000E-01 -1.0000E+00  9.3135E+06  8.9779E-01  4.3605E-01 -6.1942E-02
 -8.2667E-01 -1.0000E+00  7.8382E+06  8.8728E-01 -1.1048E-01  4.4781E-01
 -8.1333E-01 -1.0000E+00  2.7511E+07  7.3587E-01  2.6206E-01  6.2435E-01
 -8.0000E-01 -1.0000E+00  6.0204E+07  7.2966E-01  4.1021E-01  5.4711E-01
 -7.8667E-01 -1.0000E+00  8.9318E+07  7.4433E-01  4.7344E-01  4.7099E-01
 -7.7333E-01 -1.0000E+00  9.9309E+07  7.6317E-01  5.0836E-01  3.9892E-01
 -7.6000E-01 -1.0000E+00  8.4650E+07  7.8487E-01  5.3117E-01  3.1911E-01
 -7.4667E-01 -1.0000E+00  5.3197E+07  8.1484E-01  5.4114E-01  2.0785E-01
 -7.3333E-01 -1.0000E+00  2.2322E+07  8.8065E-01  4.7368E-01  8.4761E-03
 -7.2000E-01 -1.0000E+00  1.0138E+07  9.9974E-01 -6.7494E-03  2.1996E-02
 -7.0667E-01 -1.0000E+00  2.6492E+07  8.9143E-01  1.0290E-01  4.4133E-01
 -6.9333E-01 -1.0000E+00  6.8156E+07  8.5678E-01  2.7129E-01  4.3854E-01
 -6.8000E-01 -1.0000E+00  1.2025E+08  8.5409E-01  3.4061E-01  3.9310E-01
 -6.6667E-01 -1.0000E+00  1.6284E+08  8.5865E-01  3.7529E-01  3.4911E-01
 -6.5333E-01 -1.0000E+00  1.7951E+08  8.6538E-01  3.9631E-01  3.0668E-01
 -6.4000E-01 -1.0000E+00  1.6406E+08  8.7317E-01  4.1143E-01  2.6135E-01
 -6.2667E-01 -1.0000E+00  1.2281E+08  8.8253E-01  4.2323E-01  2.0498E-01
 -6.1333E-01 -1.0000E+00  7.1959E+07  8.9707E-01  4.2556E-01  1.1901E-01
 -6.0000E-01 -1.0000E+00  3.1441E+07  9.3349E-01  3.5710E-01 -3.2752E-02
 -5.8667E-01 -1.0000E+00  1.7894E+07  9.9944E-01  2.8634E-02 -1.7147E-02
 -5.7333E-01 -1.0000E+00  3.9211E+07  9.6145E-01  5.1354E-02  2.7016E-01
 -5.6000E-01 -1.0000E+00  9.2390E+07  9.3682E-01  1.6549E-01  3.0819E-01
 -5.4667E-01 -1.0000E+00  1.6496E+08  9.3020E-01  2.2107E-01  2.9303E-01
 -5.3333E-01 -1.0000E+00  2.3911E+08  9.2935E-01  2.4985E-01  2.7182E-01
 -5.2000E-01 -1.0000E+00  2.9694E+08  9.3058E-01  2.6670E-01  2.5078E-01
 -5.0667E-01 -1.0000E+00  3.2524E+08  9.3263E-01  2.7784E-01  2.3022E-01
 -4.9333E-01 -1.0000E+00  3.1849E+08  9.3500E-01  2.8636E-01  2.0922E-01
 -4.8000E-01 -1.0000E+00  2.7957E+08  9.3750E-01  2.9400E-01  1.8618E-01
 -4.6667E-01 -1.0000E+00  2.1845E+08  9.4016E-01  3.0179E-01  1.5816E-01
 -4.5333E-01 -1.0000E+00  1.4936E+08  9.4348E-01  3.0923E-01  1.1923E-01
 -4.4000E-01 -1.0000E+00  8.7424E+07  9.4950E-01  3.0859E-01  5.6679E-02
 -4.2667E-01 -1.0000E+00  4.5597E+07  9.6562E-01  2.5650E-01 -4.2297E-02
 -4.1333E-01 -1.0000E+00  3.2477E+07  9.9490E-01  7.9177E-02 -6.2427E-02
 -4.0000E-01 -1.0000E+00  5.1273E+07  9.9647E-01  9.2611E-03  8.3492E-02
 -3.8667E-01 -1.0000E+00  9.9930E+07  9.8632E-01  5.0157E-02  1.5705E-01
 -3.7333E-01 -1.0000E+00  1.7214E+08  9.8055E-01  8.6161E-02  1.7634E-01
 -3.6000E-01 -1.0000E+00  2.5886E+08  9.7795E-01  1.0827E-01  1.7859E-01
 -3.4667E-01 -1.0000E+00  3.5006E+08  9.7695E-01  1.2154E-01  1.7552E-01
 -3.3333E-01 -1.0000E+00  4.3616E+08  9.7676E-01  1.2958E-01  1.7074E-01
 -3.2000E-01 -1.0000E+00  5.0929E+08  9.7700E-01  1.3445E-01  1.6551E-01
 -3.0667E-01 -1.0000E+00  5.6391E+08  9.7746E-01  1.3736E-01  1.6030E-01
 -2.9333E-01 -1.0000E+00  5.9709E+08  9.7803E-01  1.3907E-01  1.5530E-01
 -2.8000E-01 -1.0000E+00  6.0833E+08  9.7863E-01  1.4008E-01  1.5056E-01
 -2.6667E-01 -1.0000E+00  5.9920E+08  9.7921E-01  1.4077E-01  1.4608E-01
 -2.5333E-01 -1.0000E+00  5.7275E+08  9.7974E-01  1.4140E-01  1.4183E-01
 -2.4000E-01 -1.0000E+00  5.3291E+08  9.8020E-01  1.4225E-01  1.3776E-01
 -2.2667E-01 -1.0000E+00  4.8393E+08  9.8057E-01  1.4353E-01  1.3376E-01
 -2.1333E-01 -1.0000E+00  4.2995E+08  9.8082E-01  1.4546E-01  1.2971E-01
 -2.0000E-01 -1.0000E+00  3.7465E+08  9.8096E-01  1.4827E-01  1.2541E-01
 -1.8667E-01 -1.0000E+00  3.2106E+08  9.8097E-01  1.5214E-01  1.2061E-01
 -1.7333E-01 -1.0000E+00  2.7144E+08  9.8085E-01  1.5723E-01  1.1494E-01
 -1.6000E-01 -1.0000E+00  2.2731E+08  9.8061E-01  1.6361E-01  1.0791E-01
 -1.4667E-01 -1.0000E+00  1.8951E+08  9.8026E-01  1.7115E-01  9.8943E-02
 -1.3333E-01 -1.0000E+00  1.5826E+08  9.7987E-01  1.7945E-01  8.7433E-02
 -1.2000E-01 -1.0000E+00  1.3339E+08  9.7951E-01  1.8775E-01  7.2927E-02
 -1.0667E-01 -1.0000E+00  1.1434E+08  9.7925E-01  1.9495E-01  5.5383E-02
 -9.3333E-02 -1.0000E+00  1.0038E+08  9.7917E-01  1.9993E-01  3.5434E-02
 -8.0000E-02 -1.0000E+00  9.0670E+07  9.7930E-01  2.0190E-01  1.4417E-02
 -6.6667E-02 -1.0000E+00  8.4345E+07  9.7960E-01  2.0087E-01 -5.9279E-03
 -5.3333E-02 -1.0000E+00  8.0595E+07  9.7997E-01  1.9769E-01 -2.3971E-02
 -4.0000E-02 -1.0000E+00  7.8708E+07  9.8030E-01  1.9369E-01 -3.8580E-02
 -2.6667E-02 -1.0000E+00  7.8107E+07  9.8050E-01  1.9028E-01 -4.9173E-02
 -1.3333E-02 -1.0000E+00  7.8369E+07  9.8050E-01  1.8853E-01 -5.5500E-02
  0.0000E+00 -1.0000E+00  7.9243E+07  9.8030E-01  1.8900E-01 -5.7366E-02
  1.3333E-02 -1.0000E+00  8.0651E+07  9.7994E-01  1.9170E-01 -5.4461E-02
  2.6667E-02 -1.0000E+00  8.2695E+07  9.7950E-01  1.9601E-01 -4.6357E-02
  4.0000E-02 -1.0000E+00  8.5641E+07  9.7911E-01  2.0071E-01 -3.2668E-02
  5.3333E-02 -1.0000E+00  8.9915E+07  9.7889E-01  2.0397E-01 -1.3375E-02
  6.6667E-02 -1.0000E+00  9.6082E+07  9.7897E-01  2.0370E-01  1.0814E-02
  8.0000E-02 -1.0000E+00  1.0481E+08  9.7945E-01  1.9802E-01  3.8281E-02
  9.3333E-02 -1.0000E+00  1.1685E+08  9.8032E-01  1.8584E-01  6.6661E-02
  1.0667E-01 -1.0000E+00  1.3294E+08  9.8148E-01  1.6723E-01  9.3403E-02
  1.2000E-01 -1.0000E+00  1.5379E+08  9.8281E-01  1.4332E-01  1.1642E-01
  1.3333E-01 -1.0000E+00  1.7996E+08  9.8412E-01  1.1582E-01  1.3449E-01
  1.4667E-01 -1.0000E+00  2.1177E+08  9.8530E-01  8.6485E-02  1.4732E-01
  1.6000E-01 -1.0000E+00  2.4918E+08  9.8625E-01  5.6746E-02  1.5523E-01
  1.7333E-01 -1.0000E+00  2.9170E+08  9.8691E-01  2.7550E-02  1.5890E-01
  1.8667E-01 -1.0000E+00  3.3829E+08  9.8727E-01 -5.7750E-04  1.5904E-01
  2.0000E-01 -1.0000E+00  3.8726E+08  9.8733E-01 -2.7437E-02  1.5631E-01
  2.1333E-01 -1.0000E+00  4.3628E+08  9.8708E-01 -5.3037E-02  1.5119E-01
  2.2667E-01 -1.0000E+00  4.8242E+08  9.8654E-01 -7.7499E-02  1.4399E-01
  2.4000E-01 -1.0000E+00  5.2225E+08  9.8571E-01 -1.0100E-01  1.3484E-01
  2.5333E-01 -1.0000E+00  5.5215E+08  9.8457E-01 -1.2372E-01  1.2372E-01
  2.6667E-01 -1.0000E+00  5.6857E+08  9.8313E-01 -1.4583E-01  1.1041E-01
  2.8000E-01 -1.0000E+00  5.6857E+08  9.8135E-01 -1.6741E-01  9.4498E-02
  2.9333E-01 -1.0000E+00  5.5021E+08  9.7919E-01 -1.8845E-01  7.5300E-02
  3.0667E-01 -1.0000E+00  5.1315E+08  9.7661E-01 -2.0870E-01  5.1785E-02
  3.2000E-01 -1.0000E+00  4.5894E+08  9.7352E-01 -2.2749E-01  2.2409E-02
  3.3333E-01 -1.0000E+00  3.9131E+08  9.6985E-01 -2.4323E-01 -1.5093E-02
  3.4667E-01 -1.0000E+00  3.1606E+08  9.6553E-01 -2.5234E-01 -6.3883E-02
  3.6000E-01 -1.0000E+00  2.4062E+08  9.6062E-01 -2.4686E-01 -1.2756E-01
  3.7333E-01 -1.0000E+00  1.7321E+08  9.5574E-01 -2.0967E-01 -2.0640E-01
  3.8667E-01 -1.0000E+00  1.2169E+08  9.5319E-01 -1.1088E-01 -2.8133E-01
  4.0000E-01 -1.0000E+00  9.2180E+07  9.5783E-01  6.1476E-02 -2.8068E-01
  4.1333E-01 -1.0000E+00  8.7772E+07  9.7028E-01  2.0357E-01 -1.3087E-01
  4.2667E-01 -1.0000E+00  1.0753E+08  9.7936E-01  1.9153E-01  6.4573E-02
  4.4000E-01 -1.0000E+00  1.4617E+08  9.7964E-01  8.7363E-02  1.8077E-01
  4.5333E-01 -1.0000E+00  1.9463E+08  9.7456E-01 -2.4414E-02  2.2280E-01
  4.6667E-01 -1.0000E+00  2.4158E+08  9.6705E-01 -1.2011E-01  2.2449E-01
  4.8000E-01 -1.0000E+00  2.7568E+08  9.5813E-01 -2.0052E-01  2.0440E-01
  4.9333E-01 -1.0000E+00  2.8826E+08  9.4794E-01 -2.7001E-01  1.6882E-01
  5.0667E-01 -1.0000E+00  2.7560E+08  9.3630E-01 -3.3110E-01  1.1712E-01
  5.2000E-01 -1.0000E+00  2.4024E+08  9.2306E-01 -3.8216E-01  4.3774E-02
  5.3333E-01 -1.0000E+00  1.9073E+08  9.0878E-01 -4.1284E-01 -6.0733E-02
  5.4667E-01 -1.0000E+00  1.3952E+08  8.9681E-01 -3.9280E-01 -2.0356E-01
  5.6000E-01 -1.0000E+00  9.9474E+07  8.9804E-01 -2.6092E-01 -3.5419E-01
  5.7333E-01 -1.0000E+00  7.9928E+07  9.2777E-01  5.8116E-04 -3.7315E-01
  5.8667E-01 -1.0000E+00  8.3505E+07  9.6866E-01  1.8969E-01 -1.6036E-01
  6.0000E-01 -1.0000E+00  1.0503E+08  9.8303E-01  1.6057E-01  8.8744E-02
  6.1333E-01 -1.0000E+00  1.3316E+08  9.7197E-01  2.3601E-02  2.3392E-01
  6.2667E-01 -1.0000E+00  1.5452E+08  9.4819E-01 -1.3145E-01  2.8922E-01
  6.4000E-01 -1.0000E+00  1.5895E+08  9.1671E-01 -2.8237E-01  2.8267E-01
  6.5333E-01 -1.0000E+00  1.4370E+08  8.7786E-01 -4.2634E-01  2.1814E-01
  6.6667E-01 -1.0000E+00  1.1482E+08  8.3261E-01 -5.4874E-01  7.5100E-02
  6.8000E-01 -1.0000E+00  8.4520E+07  7.9405E-01 -5.8252E-01 -1.7366E-01
  6.9333E-01 -1.0000E+00  6.5551E+07  8.0700E-01 -3.8703E-01 -4.4605E-01
  7.0667E-01 -1.0000E+00  6.4848E+07  8.9508E-01 -1.7304E-02 -4.4557E-01
  7.2000E-01 -1.0000E+00  7.9773E+07  9.7046E-01  1.7020E-01 -1.7101E-01
  7.3333E-01 -1.0000E+00  9.9190E+07  9.8635E-01  1.3183E-01  9.8694E-02
  7.4667E-01 -1.0000E+00  1.0935E+08  9.6021E-01 -1.1007E-02  2.7907E-01
  7.6000E-01 -1.0000E+00  1.0178E+08  9.0204E-01 -2.0891E-01  3.7773E-01
  7.7333E-01 -1.0000E+00  7.8742E+07  8.0437E-01 -4.6204E-01  3.7351E-01
  7.8667E-01 -1.0000E+00  5.2546E+07  6.6203E-01 -7.3462E-01  1.4852E-01
  8.0000E-01 -1.0000E+00  3.8413E+07  5.9337E-01 -7.0207E-01 -3.9371E-01
  8.1333E-01 -1.0000E+00  4.4650E+07  7.7633E-01 -1.8108E-01 -6.0376E-01
  8.2667E-01 -1.0000E+00  6.6371E+07  9.4114E-01  1.1513E-01 -3.1781E-01
  8.4000E-01 -1.0000E+00  8.7624E+07  9.9042E-01  1.3758E-01 -1.1456E-02
  8.5333E-01 -1.0000E+00  9.1600E+07  9.7187E-01  4.4484E-02  2.3130E-01
  8.6667E-01 -1.0000E+00  7.2728E+07  8.9004E-01 -1.3493E-01  4.3545E-01
  8.8000E-01 -1.0000E+00  4.1955E+07  6.7650E-01 -4.7353E-01  5.6402E-01
  8.9333E-01 -1.0000E+00  2.0188E+07  2.3008E-01 -9.6659E-01  1.1303E-01
  9.0667E-01 -1.0000E+00  2.3243E+07  4.6428E-01 -4.1146E-01 -7.8431E-01
  9.2000E-01 -1.0000E+00  4.8940E+07  8.7125E-01  5.5878E-02 -4.8765E-01
  9.3333E-01 -1.0000E+00  7.7060E+07  9.8287E-01  1.1901E-01 -1.4073E-01
  9.4667E-01 -1.0000E+00  8.4056E+07  9.8821E-01  7.7703E-02  1.3196E-01
  9.6000E-01 -1.0000E+00  6.2251E+07  9.1326E-01 -2.3222E-02  4.0671E-01
  9.7333E-01 -1.0000E+00  2.7728E+07  6.0305E-01 -2.7178E-01  7.4998E-01
  9.8667E-01 -1.0000E+00  8.5194E+06 -5.5819E-01 -8.2054E-01  1.2305E-01
  1.0000E+00 -1.0000E+00  2.1003E+07  5.1047E-01 -4.8669E-02 -8.5852E-01
 -1.0000E+00 -9.8667E-01  2.3267E+07  2.0107E-01  4.9389E-01  8.4596E-01
 -9.8667E-01 -9.8667E-01  2.8949E+07  3.0958E-01  6.4422E-01  6.9939E-01
 -9.7333E-01 -9.8667E-01  2.3579E+07  4.3518E-01  7.3319E-01  5.2254E-01
 -9.6000E-01 -9.8667E-01  1.1519E+07  6.3593E-01  7.3487E-01  2.3571E-01
 -9.4667E-01 -9.8667E-01  3.6577E+06  9.9988E-01  1.5382E-02 -2.4309E-03
 -9.3333E-01 -9.8667E-01  8.7615E+06  5.3817E-01  2.3380E-02  8.4251E-01
 -9.2000E-01 -9.8667E-01  2.5986E+07  4.8833E-01  4.0253E-01  7.7428E-01
 -9.0667E-01 -9.8667E-01  4.4703E+07  5.3014E-01  5.4295E-01  6.5127E-01
 -8.9333E-01 -9.8667E-01  5.2035E+07  5.8120E-01  6.1326E-01  5.3490E-01
 -8.8000E-01 -9.8667E-01  4.2529E+07  6.3989E-01  6.5442E-01  4.0284E-01
 -8.6667E-01 -9.8667E-01  2.2766E+07  7.3013E-01  6.5268E-01  2.0230E-01
 -8.5333E-01 -9.8667E-01  7.4687E+06  9.4664E-01  3.0726E-01 -9.7263E-02
 -8.4000E-01 -9.8667E-01  9.7554E+06  8.2428E-01 -4.6677E-02  5.6425E-01
 -8.2667E-01 -9.8667E-01  3.2162E+07  7.1475E-01  3.0519E-01  6.2927E-01
 -8.1333E-01 -9.8667E-01  6.4393E+07  7.1694E-01  4.3543E-01  5.4443E-01
 -8.0000E-01 -9.8667E-01  8.9211E+07  7.3489E-01  4.9412E-01  4.6452E-01
 -7.8667E-01 -9.8667E-01  9.2712E+07  7.5657E-01  5.2772E-01  3.8616E-01
 -7.7333E-01 -9.8667E-01  7.2730E+07  7.8247E-01  5.4890E-01  2.9401E-01
 -7.6000E-01 -9.8667E-01  4.0515E+07  8.2301E-01  5.4675E-01  1.5405E-01
