         151         151         238   508.522125      WAVE
 -1.0000E+00 -1.0000E+00  1.3086E+06  8.3230E-01 -5.4347E-01 -1.0914E-01
 -9.8667E-01 -1.0000E+00  3.9404E+06 -6.4820E-01 -7.5924E-01 -5.8310E-02
 -9.7333E-01 -1.0000E+00  6.7913E+06 -7.7964E-01 -3.2566E-01  5.3488E-01
 -9.6000E-01 -1.0000E+00  5.0425E+06 -4.5025E-01  5.0352E-02  8.9148E-01
 -9.4667E-01 -1.0000E+00  1.3348E+06  6.2771E-01  8.9686E-03  7.7840E-01
 -9.3333E-01 -1.0000E+00  1.8116E+06 -8.1063E-01 -5.8515E-01  2.1709E-02
 -9.2000E-01 -1.0000E+00  6.4106E+06 -7.6535E-01  1.4269E-01  6.2760E-01
 -9.0667E-01 -1.0000E+00  8.3519E+06 -4.2662E-01  4.2088E-01  8.0054E-01
 -8.9333E-01 -1.0000E+00  4.3836E+06  2.0901E-02  5.2462E-01  8.5108E-01
 -8.8000E-01 -1.0000E+00  5.0716E+05  5.8998E-01 -6.7839E-01  4.3786E-01
 -8.6667E-01 -1.0000E+00  3.6315E+06 -6.0867E-01  4.2446E-01  6.7034E-01
 -8.5333E-01 -1.0000E+00  1.0797E+07 -2.1728E-01  6.5662E-01  7.2225E-01
 -8.4000E-01 -1.0000E+00  1.2402E+07  3.3869E-02  7.1233E-01  7.0103E-01
 -8.2667E-01 -1.0000E+00  5.8761E+06  2.9410E-01  6.9456E-01  6.5658E-01
 -8.1333E-01 -1.0000E+00  4.3449E+05  5.1162E-01 -1.9178E-01  8.3754E-01
 -8.0000E-01 -1.0000E+00  5.2740E+06  1.3729E-03  7.0633E-01  7.0788E-01
 -7.8667E-01 -1.0000E+00  1.6653E+07  2.2403E-01  7.5114E-01  6.2096E-01
 -7.7333E-01 -1.0000E+00  2.1495E+07  3.5146E-01  7.4692E-01  5.6444E-01
 -7.6000E-01 -1.0000E+00  1.3671E+07  4.6175E-01  7.2824E-01  5.0642E-01
 -7.4667E-01 -1.0000E+00  2.5770E+06  6.4605E-01  6.3101E-01  4.2948E-01
 -7.3333E-01 -1.0000E+00  2.9795E+06  4.2185E-01  6.1448E-01  6.6668E-01
 -7.2000E-01 -1.0000E+00  1.7807E+07  5.0992E-01  6.8124E-01  5.2525E-01
 -7.0667E-01 -1.0000E+00  3.3799E+07  5.6955E-01  6.7569E-01  4.6804E-01
 -6.9333E-01 -1.0000E+00  3.5100E+07  6.1543E-01  6.6492E-01  4.2323E-01
 -6.8000E-01 -1.0000E+00  2.0138E+07  6.5778E-01  6.5486E-01  3.7213E-01
 -6.6667E-01 -1.0000E+00  4.0975E+06  7.3884E-01  6.1963E-01  2.6490E-01
 -6.5333E-01 -1.0000E+00  4.6753E+06  7.5468E-01  4.8212E-01  4.4499E-01
 -6.4000E-01 -1.0000E+00  2.5251E+07  7.3349E-01  5.4772E-01  4.0249E-01
 -6.2667E-01 -1.0000E+00  5.1255E+07  7.4796E-01  5.5273E-01  3.6749E-01
 -6.1333E-01 -1.0000E+00  6.2494E+07  7.6326E-01  5.4985E-01  3.3927E-01
 -6.0000E-01 -1.0000E+00  5.0107E+07  7.7640E-01  5.4845E-01  3.1048E-01
 -5.8667E-01 -1.0000E+00  2.3901E+07  7.8730E-01  5.5586E-01  2.6680E-01
 -5.7333E-01 -1.0000E+00  4.8774E+06  8.3471E-01  5.3704E-01  1.2184E-01
 -5.6000E-01 -1.0000E+00  9.6590E+06  8.9621E-01  3.5844E-01  2.6141E-01
 -5.4667E-01 -1.0000E+00  3.8760E+07  8.6767E-01  4.0516E-01  2.8810E-01
 -5.3333E-01 -1.0000E+00  7.6501E+07  8.6516E-01  4.1711E-01  2.7841E-01
 -5.2000E-01 -1.0000E+00  1.0149E+08  8.6747E-01  4.2000E-01  2.6666E-01
 -5.0667E-01 -1.0000E+00  9.9894E+07  8.7006E-01  4.2212E-01  2.5457E-01
 -4.9333E-01 -1.0000E+00  7.3236E+07  8.7081E-01  4.2898E-01  2.4013E-01
 -4.8000E-01 -1.0000E+00  3.6786E+07  8.6726E-01  4.4997E-01  2.1304E-01
 -4.6667E-01 -1.0000E+00  1.0784E+07  8.6863E-01  4.8482E-01  1.0213E-01
 -4.5333E-01 -1.0000E+00  1.0038E+07  9.6249E-01  2.6632E-01  5.1908E-02
 -4.4000E-01 -1.0000E+00  3.7327E+07  9.5121E-01  2.5843E-01  1.6858E-01
 -4.2667E-01 -1.0000E+00  8.3130E+07  9.4222E-01  2.7424E-01  1.9239E-01
 -4.1333E-01 -1.0000E+00  1.3073E+08  9.3903E-01  2.8090E-01  1.9828E-01
 -4.0000E-01 -1.0000E+00  1.6354E+08  9.3785E-01  2.8381E-01  1.9974E-01
 -3.8667E-01 -1.0000E+00  1.7133E+08  9.3705E-01  2.8626E-01  2.0000E-01
 -3.7333E-01 -1.0000E+00  1.5306E+08  9.3563E-01  2.9086E-01  2.0000E-01
 -3.6000E-01 -1.0000E+00  1.1607E+08  9.3252E-01  3.0111E-01  1.9936E-01
 -3.4667E-01 -1.0000E+00  7.2681E+07  9.2592E-01  3.2371E-01  1.9463E-01
 -3.3333E-01 -1.0000E+00  3.5869E+07  9.1308E-01  3.7200E-01  1.6704E-01
 -3.2000E-01 -1.0000E+00  1.5599E+07  9.0723E-01  4.1947E-01  3.1268E-02
 -3.0667E-01 -1.0000E+00  1.6766E+07  9.6744E-01  2.3860E-01 -8.4415E-02
 -2.9333E-01 -1.0000E+00  3.8900E+07  9.9020E-01  1.3935E-01  8.9237E-03
 -2.8000E-01 -1.0000E+00  7.7259E+07  9.8981E-01  1.2586E-01  6.6564E-02
 -2.6667E-01 -1.0000E+00  1.2466E+08  9.8761E-01  1.2439E-01  9.5697E-02
 -2.5333E-01 -1.0000E+00  1.7341E+08  9.8591E-01  1.2361E-01  1.1272E-01
 -2.4000E-01 -1.0000E+00  2.1685E+08  9.8469E-01  1.2223E-01  1.2426E-01
 -2.2667E-01 -1.0000E+00  2.5026E+08  9.8376E-01  1.2041E-01  1.3314E-01
 -2.1333E-01 -1.0000E+00  2.7123E+08  9.8293E-01  1.1848E-01  1.4076E-01
 -2.0000E-01 -1.0000E+00  2.7941E+08  9.8209E-01  1.1680E-01  1.4784E-01
 -1.8667E-01 -1.0000E+00  2.7611E+08  9.8115E-01  1.1569E-01  1.5481E-01
 -1.7333E-01 -1.0000E+00  2.6361E+08  9.8003E-01  1.1547E-01  1.6191E-01
 -1.6000E-01 -1.0000E+00  2.4466E+08  9.7867E-01  1.1645E-01  1.6926E-01
 -1.4667E-01 -1.0000E+00  2.2197E+08  9.7703E-01  1.1893E-01  1.7685E-01
 -1.3333E-01 -1.0000E+00  1.9791E+08  9.7506E-01  1.2321E-01  1.8460E-01
 -1.2000E-01 -1.0000E+00  1.7437E+08  9.7276E-01  1.2952E-01  1.9226E-01
 -1.0667E-01 -1.0000E+00  1.5268E+08  9.7013E-01  1.3797E-01  1.9951E-01
 -9.3333E-02 -1.0000E+00  1.3365E+08  9.6724E-01  1.4844E-01  2.0593E-01
 -8.0000E-02 -1.0000E+00  1.1767E+08  9.6420E-01  1.6053E-01  2.1109E-01
 -6.6667E-02 -1.0000E+00  1.0482E+08  9.6115E-01  1.7347E-01  2.1469E-01
 -5.3333E-02 -1.0000E+00  9.4991E+07  9.5832E-01  1.8617E-01  2.1673E-01
 -4.0000E-02 -1.0000E+00  8.7934E+07  9.5590E-01  1.9732E-01  2.1754E-01
 -2.6667E-02 -1.0000E+00  8.3390E+07  9.5409E-01  2.0558E-01  2.1782E-01
 -1.3333E-02 -1.0000E+00  8.1127E+07  9.5302E-01  2.0983E-01  2.1845E-01
  0.0000E+00 -1.0000E+00  8.0978E+07  9.5276E-01  2.0921E-01  2.2019E-01
  1.3333E-02 -1.0000E+00  8.2863E+07  9.5330E-01  2.0321E-01  2.2345E-01
  2.6667E-02 -1.0000E+00  8.6794E+07  9.5458E-01  1.9165E-01  2.2814E-01
  4.0000E-02 -1.0000E+00  9.2858E+07  9.5649E-01  1.7469E-01  2.3371E-01
  5.3333E-02 -1.0000E+00  1.0119E+08  9.5885E-01  1.5278E-01  2.3929E-01
  6.6667E-02 -1.0000E+00  1.1193E+08  9.6149E-01  1.2666E-01  2.4392E-01
  8.0000E-02 -1.0000E+00  1.2517E+08  9.6419E-01  9.7274E-02  2.4675E-01
  9.3333E-02 -1.0000E+00  1.4086E+08  9.6675E-01  6.5586E-02  2.4717E-01
  1.0667E-01 -1.0000E+00  1.5875E+08  9.6902E-01  3.2490E-02  2.4483E-01
  1.2000E-01 -1.0000E+00  1.7826E+08  9.7088E-01 -1.2945E-03  2.3957E-01
  1.3333E-01 -1.0000E+00  1.9849E+08  9.7223E-01 -3.5265E-02  2.3134E-01
  1.4667E-01 -1.0000E+00  2.1808E+08  9.7304E-01 -6.9117E-02  2.2006E-01
  1.6000E-01 -1.0000E+00  2.3531E+08  9.7324E-01 -1.0270E-01  2.0555E-01
  1.7333E-01 -1.0000E+00  2.4815E+08  9.7282E-01 -1.3596E-01  1.8744E-01
  1.8667E-01 -1.0000E+00  2.5451E+08  9.7173E-01 -1.6881E-01  1.6503E-01
  2.0000E-01 -1.0000E+00  2.5251E+08  9.6992E-01 -2.0106E-01  1.3719E-01
  2.1333E-01 -1.0000E+00  2.4093E+08  9.6730E-01 -2.3214E-01  1.0217E-01
  2.2667E-01 -1.0000E+00  2.1960E+08  9.6374E-01 -2.6061E-01  5.7332E-02
  2.4000E-01 -1.0000E+00  1.8982E+08  9.5906E-01 -2.8320E-01 -1.1999E-03
  2.5333E-01 -1.0000E+00  1.5454E+08  9.5305E-01 -2.9245E-01 -7.8493E-02
  2.6667E-01 -1.0000E+00  1.1818E+08  9.4566E-01 -2.7172E-01 -1.7858E-01
  2.8000E-01 -1.0000E+00  8.6106E+07  9.3767E-01 -1.8760E-01 -2.9253E-01
  2.9333E-01 -1.0000E+00  6.3592E+07  9.3256E-01  7.4585E-05 -3.6103E-01
  3.0667E-01 -1.0000E+00  5.4542E+07  9.3622E-01  2.3861E-01 -2.5800E-01
  3.2000E-01 -1.0000E+00  6.0187E+07  9.4570E-01  3.2500E-01  4.9246E-03
  3.3333E-01 -1.0000E+00  7.8236E+07  9.4970E-01  2.2138E-01  2.2148E-01
  3.4667E-01 -1.0000E+00  1.0292E+08  9.4574E-01  5.7647E-02  3.1977E-01
  3.6000E-01 -1.0000E+00  1.2621E+08  9.3633E-01 -9.7885E-02  3.3721E-01
  3.7333E-01 -1.0000E+00  1.4011E+08  9.2309E-01 -2.3388E-01  3.0529E-01
  3.8667E-01 -1.0000E+00  1.3946E+08  9.0657E-01 -3.5182E-01  2.3312E-01
  4.0000E-01 -1.0000E+00  1.2414E+08  8.8741E-01 -4.4670E-01  1.1388E-01
  4.1333E-01 -1.0000E+00  9.9599E+07  8.6865E-01 -4.9088E-01 -6.6979E-02
  4.2667E-01 -1.0000E+00  7.5128E+07  8.6127E-01 -4.1094E-01 -2.9889E-01
  4.4000E-01 -1.0000E+00  5.9943E+07  8.8590E-01 -1.2727E-01 -4.4608E-01
  4.5333E-01 -1.0000E+00  5.8820E+07  9.3578E-01  1.9991E-01 -2.9045E-01
  4.6667E-01 -1.0000E+00  6.9387E+07  9.6058E-01  2.7462E-01  4.3286E-02
  4.8000E-01 -1.0000E+00  8.2998E+07  9.4565E-01  1.3192E-01  2.9724E-01
  4.9333E-01 -1.0000E+00  8.9397E+07  9.0386E-01 -9.6209E-02  4.1687E-01
  5.0667E-01 -1.0000E+00  8.2985E+07  8.4177E-01 -3.5550E-01  4.0625E-01
  5.2000E-01 -1.0000E+00  6.6843E+07  7.6534E-01 -6.0319E-01  2.2455E-01
  5.3333E-01 -1.0000E+00  5.1276E+07  7.1544E-01 -6.7583E-01 -1.7722E-01
  5.4667E-01 -1.0000E+00  4.6832E+07  7.8311E-01 -3.2963E-01 -5.2734E-01
  5.6000E-01 -1.0000E+00  5.6043E+07  9.1320E-01  1.0819E-01 -3.9288E-01
  5.7333E-01 -1.0000E+00  7.0277E+07  9.7027E-01  2.3968E-01 -3.3514E-02
  5.8667E-01 -1.0000E+00  7.5474E+07  9.4855E-01  1.4225E-01  2.8286E-01
  6.0000E-01 -1.0000E+00  6.3765E+07  8.5510E-01 -1.0852E-01  5.0698E-01
  6.1333E-01 -1.0000E+00  4.1797E+07  6.5630E-01 -5.4013E-01  5.2681E-01
  6.2667E-01 -1.0000E+00  2.7143E+07  4.3865E-01 -8.9430E-01 -8.8419E-02
  6.4000E-01 -1.0000E+00  3.3367E+07  6.7474E-01 -3.2755E-01 -6.6139E-01
  6.5333E-01 -1.0000E+00  5.5827E+07  9.1937E-01  1.1842E-01 -3.7516E-01
  6.6667E-01 -1.0000E+00  7.2940E+07  9.8021E-01  1.9795E-01  1.1481E-03
  6.8000E-01 -1.0000E+00  6.5397E+07  9.3264E-01  1.1377E-01  3.4242E-01
  6.9333E-01 -1.0000E+00  3.6985E+07  7.0963E-01 -1.7150E-01  6.8338E-01
  7.0667E-01 -1.0000E+00  1.4462E+07  5.4009E-03 -9.2273E-01  3.8541E-01
  7.2000E-01 -1.0000E+00  2.1751E+07  4.6931E-01 -3.3638E-01 -8.1646E-01
  7.3333E-01 -1.0000E+00  5.2441E+07  9.0850E-01  9.6859E-02 -4.0651E-01
  7.4667E-01 -1.0000E+00  7.2680E+07  9.8679E-01  1.6047E-01 -2.2151E-02
  7.6000E-01 -1.0000E+00  5.7384E+07  9.3004E-01  1.2931E-01  3.4394E-01
