         151         151         212   300.000000      WAVE
 -1.0000E+00 -1.0000E+00  3.0333E+07  3.5567E-01  5.7418E-01  7.3743E-01
 -9.8667E-01 -1.0000E+00  2.6262E+07  4.6054E-01  6.6384E-01  5.8926E-01
 -9.7333E-01 -1.0000E+00  1.4735E+07  6.0124E-01  7.1366E-01  3.5945E-01
 -9.6000E-01 -1.0000E+00  4.4399E+06  8.9652E-01  4.2768E-01 -1.1551E-01
 -9.4667E-01 -1.0000E+00  4.1354E+06  6.2352E-01 -3.8248E-01  6.8186E-01
 -9.3333E-01 -1.0000E+00  1.6424E+07  4.8759E-01  2.1880E-01  8.4521E-01
 -9.2000E-01 -1.0000E+00  3.5520E+07  5.3081E-01  4.2457E-01  7.3347E-01
 -9.0667E-01 -1.0000E+00  5.0598E+07  5.7957E-01  5.1707E-01  6.2988E-01
 -8.9333E-01 -1.0000E+00  5.2577E+07  6.2677E-01  5.7277E-01  5.2830E-01
 -8.8000E-01 -1.0000E+00  3.9995E+07  6.7820E-01  6.1238E-01  4.0624E-01
 -8.6667E-01 -1.0000E+00  2.0323E+07  7.5436E-01  6.2285E-01  2.0734E-01
 -8.5333E-01 -1.0000E+00  5.9214E+06  9.3786E-01  2.9825E-01 -1.7736E-01
 -8.4000E-01 -1.0000E+00  7.0828E+06  8.0321E-01 -1.9668E-01  5.6228E-01
 -8.2667E-01 -1.0000E+00  2.6149E+07  7.1700E-01  2.2225E-01  6.6070E-01
 -8.1333E-01 -1.0000E+00  5.5951E+07  7.2730E-01  3.6619E-01  5.8046E-01
 -8.0000E-01 -1.0000E+00  8.3300E+07  7.4631E-01  4.3025E-01  5.0784E-01
 -7.8667E-01 -1.0000E+00  9.5560E+07  7.6588E-01  4.6765E-01  4.4127E-01
 -7.7333E-01 -1.0000E+00  8.6919E+07  7.8583E-01  4.9466E-01  3.7120E-01
 -7.6000E-01 -1.0000E+00  6.1284E+07  8.0866E-01  5.1653E-01  2.8153E-01
 -7.4667E-01 -1.0000E+00  3.0624E+07  8.4456E-01  5.1948E-01  1.2983E-01
 -7.3333E-01 -1.0000E+00  9.7127E+06  9.4137E-01  2.9394E-01 -1.6560E-01
 -7.2000E-01 -1.0000E+00  9.7863E+06  9.3161E-01 -1.6829E-01  3.2215E-01
 -7.0667E-01 -1.0000E+00  3.3885E+07  8.5838E-01  1.3849E-01  4.9397E-01
 -6.9333E-01 -1.0000E+00  7.5665E+07  8.5167E-01  2.6289E-01  4.5337E-01
 -6.8000E-01 -1.0000E+00  1.2192E+08  8.5614E-01  3.1747E-01  4.0772E-01
 -6.6667E-01 -1.0000E+00  1.5757E+08  8.6293E-01  3.4752E-01  3.6687E-01
 -6.5333E-01 -1.0000E+00  1.7107E+08  8.7020E-01  3.6747E-01  3.2822E-01
 -6.4000E-01 -1.0000E+00  1.5827E+08  8.7758E-01  3.8335E-01  2.8791E-01
 -6.2667E-01 -1.0000E+00  1.2361E+08  8.8532E-01  3.9828E-01  2.3995E-01
 -6.1333E-01 -1.0000E+00  7.8432E+07  8.9477E-01  4.1238E-01  1.7127E-01
 -6.0000E-01 -1.0000E+00  3.7275E+07  9.1209E-01  4.0746E-01  4.5605E-02
 -5.8667E-01 -1.0000E+00  1.3523E+07  9.6572E-01  1.9918E-01 -1.6648E-01
 -5.7333E-01 -1.0000E+00  1.5723E+07  9.7954E-01 -1.1427E-01  1.6567E-01
 -5.6000E-01 -1.0000E+00  4.5563E+07  9.4229E-01  6.0590E-02  3.2928E-01
 -5.4667E-01 -1.0000E+00  9.7830E+07  9.3247E-01  1.5435E-01  3.2662E-01
 -5.3333E-01 -1.0000E+00  1.6211E+08  9.3097E-01  1.9879E-01  3.0624E-01
 -5.2000E-01 -1.0000E+00  2.2558E+08  9.3204E-01  2.2308E-01  2.8554E-01
 -5.0667E-01 -1.0000E+00  2.7602E+08  9.3402E-01  2.3807E-01  2.6630E-01
 -4.9333E-01 -1.0000E+00  3.0438E+08  9.3632E-01  2.4843E-01  2.4818E-01
 -4.8000E-01 -1.0000E+00  3.0631E+08  9.3865E-01  2.5658E-01  2.3044E-01
 -4.6667E-01 -1.0000E+00  2.8261E+08  9.4089E-01  2.6405E-01  2.1215E-01
 -4.5333E-01 -1.0000E+00  2.3855E+08  9.4296E-01  2.7205E-01  1.9190E-01
 -4.4000E-01 -1.0000E+00  1.8249E+08  9.4484E-01  2.8165E-01  1.6718E-01
 -4.2667E-01 -1.0000E+00  1.2414E+08  9.4668E-01  2.9354E-01  1.3279E-01
 -4.1333E-01 -1.0000E+00  7.2896E+07  9.4929E-01  3.0495E-01  7.6483E-02
 -4.0000E-01 -1.0000E+00  3.6414E+07  9.5681E-01  2.8936E-01 -2.7877E-02
 -3.8667E-01 -1.0000E+00  1.9764E+07  9.8171E-01  1.2706E-01 -1.4181E-01
 -3.7333E-01 -1.0000E+00  2.5075E+07  9.9852E-01 -5.4350E-02  1.6890E-03
 -3.6000E-01 -1.0000E+00  5.1681E+07  9.9093E-01 -2.3257E-02  1.3235E-01
 -3.4667E-01 -1.0000E+00  9.6611E+07  9.8484E-01  2.4994E-02  1.7164E-01
