         151         151         206   269.227692      WAVE
 -1.0000E+00 -1.0000E+00  3.9733E+07  5.2268E-01  3.4922E-01  7.7772E-01
 -9.8667E-01 -1.0000E+00  5.6498E+07  5.5635E-01  4.8561E-01  6.7429E-01
 -9.7333E-01 -1.0000E+00  6.0528E+07  6.0014E-01  5.7022E-01  5.6096E-01
 -9.6000E-01 -1.0000E+00  4.9271E+07  6.5431E-01  6.2751E-01  4.2204E-01
 -9.4667E-01 -1.0000E+00  2.9073E+07  7.3781E-01  6.4091E-01  2.1182E-01
 -9.3333E-01 -1.0000E+00  1.2107E+07  9.1203E-01  3.9272E-01 -1.1817E-01
 -9.2000E-01 -1.0000E+00  9.8993E+06  9.2317E-01 -2.4899E-01  2.9284E-01
 -9.0667E-01 -1.0000E+00  2.7025E+07  7.4778E-01  7.0279E-02  6.6021E-01
 -8.9333E-01 -1.0000E+00  5.8314E+07  7.2178E-01  2.8872E-01  6.2903E-01
 -8.8000E-01 -1.0000E+00  9.1029E+07  7.3056E-01  3.9478E-01  5.5716E-01
 -8.6667E-01 -1.0000E+00  1.1088E+08  7.4751E-01  4.5641E-01  4.8262E-01
 -8.5333E-01 -1.0000E+00  1.0888E+08  7.6798E-01  4.9808E-01  4.0266E-01
 -8.4000E-01 -1.0000E+00  8.5757E+07  7.9336E-01  5.2719E-01  3.0438E-01
 -8.2667E-01 -1.0000E+00  5.1971E+07  8.3238E-01  5.3115E-01  1.5819E-01
 -8.1333E-01 -1.0000E+00  2.3391E+07  9.1557E-01  3.9431E-01 -7.9070E-02
 -8.0000E-01 -1.0000E+00  1.4682E+07  9.9194E-01 -1.2008E-01  4.0340E-02
 -7.8667E-01 -1.0000E+00  3.3227E+07  8.8841E-01 -5.2185E-03  4.5902E-01
 -7.7333E-01 -1.0000E+00  7.6048E+07  8.5211E-01  1.8726E-01  4.8871E-01
 -7.6000E-01 -1.0000E+00  1.3081E+08  8.4773E-01  2.8198E-01  4.4927E-01
 -7.4667E-01 -1.0000E+00  1.8034E+08  8.5187E-01  3.3396E-01  4.0348E-01
 -7.3333E-01 -1.0000E+00  2.0873E+08  8.5881E-01  3.6692E-01  3.5752E-01
 -7.2000E-01 -1.0000E+00  2.0692E+08  8.6709E-01  3.9053E-01  3.0925E-01
 -7.0667E-01 -1.0000E+00  1.7570E+08  8.7678E-01  4.0873E-01  2.5336E-01
 -6.9333E-01 -1.0000E+00  1.2539E+08  8.8948E-01  4.2037E-01  1.7922E-01
 -6.8000E-01 -1.0000E+00  7.2520E+07  9.1088E-01  4.0759E-01  6.4547E-02
 -6.6667E-01 -1.0000E+00  3.4833E+07  9.5763E-01  2.6979E-01 -1.0079E-01
 -6.5333E-01 -1.0000E+00  2.6118E+07  9.9738E-01 -7.0861E-02  1.4732E-02
 -6.4000E-01 -1.0000E+00  5.2495E+07  9.5496E-01 -1.7543E-02  2.9621E-01
 -6.2667E-01 -1.0000E+00  1.1100E+08  9.3203E-01  1.0945E-01  3.4545E-01
 -6.1333E-01 -1.0000E+00  1.9064E+08  9.2564E-01  1.7996E-01  3.3289E-01
 -6.0000E-01 -1.0000E+00  2.7539E+08  9.2503E-01  2.1972E-01  3.0990E-01
 -5.8667E-01 -1.0000E+00  3.4816E+08  9.2663E-01  2.4436E-01  2.8574E-01
 -5.7333E-01 -1.0000E+00  3.9472E+08  9.2916E-01  2.6109E-01  2.6172E-01
 -5.6000E-01 -1.0000E+00  4.0660E+08  9.3212E-01  2.7350E-01  2.3738E-01
 -5.4667E-01 -1.0000E+00  3.8253E+08  9.3534E-01  2.8353E-01  2.1155E-01
 -5.3333E-01 -1.0000E+00  3.2826E+08  9.3883E-01  2.9221E-01  1.8224E-01
 -5.2000E-01 -1.0000E+00  2.5496E+08  9.4287E-01  2.9948E-01  1.4598E-01
 -5.0667E-01 -1.0000E+00  1.7683E+08  9.4827E-01  3.0250E-01  9.6357E-02
 -4.9333E-01 -1.0000E+00  1.0844E+08  9.5735E-01  2.8803E-01  2.2699E-02
 -4.8000E-01 -1.0000E+00  6.2231E+07  9.7532E-01  2.0859E-01 -7.2368E-02
 -4.6667E-01 -1.0000E+00  4.6799E+07  9.9742E-01  2.4511E-02 -6.7532E-02
 -4.5333E-01 -1.0000E+00  6.5945E+07  9.9483E-01 -4.6373E-02  9.0305E-02
 -4.4000E-01 -1.0000E+00  1.1861E+08  9.8368E-01  3.1338E-03  1.7988E-01
 -4.2667E-01 -1.0000E+00  1.9955E+08  9.7742E-01  5.2294E-02  2.0475E-01
 -4.1333E-01 -1.0000E+00  3.0045E+08  9.7470E-01  8.4625E-02  2.0687E-01
 -4.0000E-01 -1.0000E+00  4.1138E+08  9.7379E-01  1.0521E-01  2.0166E-01
 -3.8667E-01 -1.0000E+00  5.2211E+08  9.7379E-01  1.1855E-01  1.9410E-01
 -3.7333E-01 -1.0000E+00  6.2334E+08  9.7427E-01  1.2739E-01  1.8591E-01
 -3.6000E-01 -1.0000E+00  7.0755E+08  9.7501E-01  1.3332E-01  1.7771E-01
 -3.4667E-01 -1.0000E+00  7.6954E+08  9.7588E-01  1.3733E-01  1.6972E-01
 -3.3333E-01 -1.0000E+00  8.0658E+08  9.7680E-01  1.4006E-01  1.6199E-01
 -3.2000E-01 -1.0000E+00  8.1826E+08  9.7774E-01  1.4196E-01  1.5451E-01
 -3.0667E-01 -1.0000E+00  8.0619E+08  9.7866E-01  1.4332E-01  1.4723E-01
 -2.9333E-01 -1.0000E+00  7.7349E+08  9.7956E-01  1.4439E-01  1.4008E-01
 -2.8000E-01 -1.0000E+00  7.2426E+08  9.8040E-01  1.4537E-01  1.3298E-01
 -2.6667E-01 -1.0000E+00  6.6308E+08  9.8119E-01  1.4640E-01  1.2580E-01
 -2.5333E-01 -1.0000E+00  5.9459E+08  9.8193E-01  1.4764E-01  1.1841E-01
 -2.4000E-01 -1.0000E+00  5.2307E+08  9.8260E-01  1.4918E-01  1.1063E-01
 -2.2667E-01 -1.0000E+00  4.5228E+08  9.8322E-01  1.5110E-01  1.0220E-01
 -2.1333E-01 -1.0000E+00  3.8523E+08  9.8379E-01  1.5343E-01  9.2821E-02
 -2.0000E-01 -1.0000E+00  3.2415E+08  9.8433E-01  1.5606E-01  8.2128E-02
 -1.8667E-01 -1.0000E+00  2.7054E+08  9.8485E-01  1.5877E-01  6.9693E-02
 -1.7333E-01 -1.0000E+00  2.2517E+08  9.8541E-01  1.6104E-01  5.5106E-02
 -1.6000E-01 -1.0000E+00  1.8823E+08  9.8604E-01  1.6210E-01  3.8126E-02
 -1.4667E-01 -1.0000E+00  1.5941E+08  9.8679E-01  1.6090E-01  1.8907E-02
 -1.3333E-01 -1.0000E+00  1.3804E+08  9.8769E-01  1.5638E-01 -1.7572E-03
 -1.2000E-01 -1.0000E+00  1.2322E+08  9.8874E-01  1.4794E-01 -2.2401E-02
 -1.0667E-01 -1.0000E+00  1.1388E+08  9.8986E-01  1.3589E-01 -4.1254E-02
 -9.3333E-02 -1.0000E+00  1.0894E+08  9.9096E-01  1.2152E-01 -5.6911E-02
 -8.0000E-02 -1.0000E+00  1.0728E+08  9.9191E-01  1.0663E-01 -6.8856E-02
 -6.6667E-02 -1.0000E+00  1.0788E+08  9.9266E-01  9.2885E-02 -7.7456E-02
 -5.3333E-02 -1.0000E+00  1.0985E+08  9.9317E-01  8.1415E-02 -8.3572E-02
 -4.0000E-02 -1.0000E+00  1.1241E+08  9.9345E-01  7.2812E-02 -8.8115E-02
 -2.6667E-02 -1.0000E+00  1.1496E+08  9.9350E-01  6.7303E-02 -9.1779E-02
 -1.3333E-02 -1.0000E+00  1.1707E+08  9.9336E-01  6.4956E-02 -9.4945E-02
  0.0000E+00 -1.0000E+00  1.1848E+08  9.9304E-01  6.5802E-02 -9.7666E-02
  1.3333E-02 -1.0000E+00  1.1914E+08  9.9256E-01  6.9877E-02 -9.9676E-02
  2.6667E-02 -1.0000E+00  1.1914E+08  9.9195E-01  7.7195E-02 -1.0039E-01
  4.0000E-02 -1.0000E+00  1.1878E+08  9.9123E-01  8.7625E-02 -9.8898E-02
  5.3333E-02 -1.0000E+00  1.1853E+08  9.9046E-01  1.0071E-01 -9.4007E-02
  6.6667E-02 -1.0000E+00  1.1900E+08  9.8972E-01  1.1544E-01 -8.4403E-02
  8.0000E-02 -1.0000E+00  1.2095E+08  9.8910E-01  1.3005E-01 -6.8991E-02
  9.3333E-02 -1.0000E+00  1.2529E+08  9.8872E-01  1.4209E-01 -4.7430E-02
  1.0667E-01 -1.0000E+00  1.3297E+08  9.8864E-01  1.4886E-01 -2.0632E-02
  1.2000E-01 -1.0000E+00  1.4502E+08  9.8890E-01  1.4828E-01  9.1401E-03
  1.3333E-01 -1.0000E+00  1.6243E+08  9.8944E-01  1.3965E-01  3.8835E-02
  1.4667E-01 -1.0000E+00  1.8610E+08  9.9013E-01  1.2383E-01  6.5580E-02
  1.6000E-01 -1.0000E+00  2.1676E+08  9.9086E-01  1.0273E-01  8.7472E-02
  1.7333E-01 -1.0000E+00  2.5486E+08  9.9149E-01  7.8528E-02  1.0380E-01
  1.8667E-01 -1.0000E+00  3.0045E+08  9.9197E-01  5.3105E-02  1.1478E-01
  2.0000E-01 -1.0000E+00  3.5312E+08  9.9225E-01  2.7755E-02  1.2112E-01
  2.1333E-01 -1.0000E+00  4.1183E+08  9.9232E-01  3.2348E-03  1.2369E-01
  2.2667E-01 -1.0000E+00  4.7491E+08  9.9217E-01 -2.0112E-02  1.2325E-01
  2.4000E-01 -1.0000E+00  5.3999E+08  9.9182E-01 -4.2205E-02  1.2043E-01
  2.5333E-01 -1.0000E+00  6.0403E+08  9.9128E-01 -6.3110E-02  1.1570E-01
  2.6667E-01 -1.0000E+00  6.6340E+08  9.9054E-01 -8.2968E-02  1.0932E-01
  2.8000E-01 -1.0000E+00  7.1410E+08  9.8960E-01 -1.0194E-01  1.0145E-01
  2.9333E-01 -1.0000E+00  7.5202E+08  9.8847E-01 -1.2019E-01  9.2096E-02
  3.0667E-01 -1.0000E+00  7.7328E+08  9.8713E-01 -1.3784E-01  8.1135E-02
  3.2000E-01 -1.0000E+00  7.7467E+08  9.8555E-01 -1.5498E-01  6.8322E-02
  3.3333E-01 -1.0000E+00  7.5414E+08  9.8372E-01 -1.7162E-01  5.3245E-02
  3.4667E-01 -1.0000E+00  7.1120E+08  9.8160E-01 -1.8764E-01  3.5284E-02
  3.6000E-01 -1.0000E+00  6.4729E+08  9.7915E-01 -2.0271E-01  1.3532E-02
  3.7333E-01 -1.0000E+00  5.6601E+08  9.7630E-01 -2.1603E-01 -1.3319E-02
  3.8667E-01 -1.0000E+00  4.7300E+08  9.7300E-01 -2.2593E-01 -4.7118E-02
  4.0000E-01 -1.0000E+00  3.7572E+08  9.6926E-01 -2.2887E-01 -9.0266E-02
  4.1333E-01 -1.0000E+00  2.8271E+08  9.6525E-01 -2.1742E-01 -1.4498E-01
  4.2667E-01 -1.0000E+00  2.0271E+08  9.6177E-01 -1.7663E-01 -2.0928E-01
  4.4000E-01 -1.0000E+00  1.4350E+08  9.6120E-01 -8.3693E-02 -2.6284E-01
  4.5333E-01 -1.0000E+00  1.1071E+08  9.6760E-01  6.1325E-02 -2.4494E-01
  4.6667E-01 -1.0000E+00  1.0673E+08  9.7984E-01  1.6686E-01 -1.0984E-01
  4.8000E-01 -1.0000E+00  1.2998E+08  9.8785E-01  1.4703E-01  5.0316E-02
  4.9333E-01 -1.0000E+00  1.7481E+08  9.8796E-01  5.7637E-02  1.4355E-01
  5.0667E-01 -1.0000E+00  2.3199E+08  9.8358E-01 -3.5723E-02  1.7690E-01
  5.2000E-01 -1.0000E+00  2.9008E+08  9.7734E-01 -1.1469E-01  1.7791E-01
  5.3333E-01 -1.0000E+00  3.3727E+08  9.7019E-01 -1.8007E-01  1.6220E-01
  5.4667E-01 -1.0000E+00  3.6361E+08  9.6230E-01 -2.3568E-01  1.3579E-01
  5.6000E-01 -1.0000E+00  3.6315E+08  9.5353E-01 -2.8433E-01  9.9642E-02
  5.7333E-01 -1.0000E+00  3.3531E+08  9.4369E-01 -3.2680E-01  5.1578E-02
  5.8667E-01 -1.0000E+00  2.8539E+08  9.3264E-01 -3.6058E-01 -1.3240E-02
  6.0000E-01 -1.0000E+00  2.2357E+08  9.2086E-01 -3.7637E-01 -1.0180E-01
  6.1333E-01 -1.0000E+00  1.6272E+08  9.1097E-01 -3.5008E-01 -2.1814E-01
  6.2667E-01 -1.0000E+00  1.1534E+08  9.1125E-01 -2.3575E-01 -3.3770E-01
  6.4000E-01 -1.0000E+00  9.0322E+07  9.3466E-01 -1.7302E-02 -3.5511E-01
  6.5333E-01 -1.0000E+00  9.0481E+07  9.7153E-01  1.5383E-01 -1.8017E-01
  6.6667E-01 -1.0000E+00  1.1165E+08  9.8928E-01  1.4018E-01  4.0816E-02
  6.8000E-01 -1.0000E+00  1.4379E+08  9.8433E-01  2.5151E-02  1.7455E-01
  6.9333E-01 -1.0000E+00  1.7397E+08  9.6791E-01 -1.0551E-01  2.2807E-01
  7.0667E-01 -1.0000E+00  1.9046E+08  9.4580E-01 -2.2814E-01  2.3111E-01
  7.2000E-01 -1.0000E+00  1.8664E+08  9.1910E-01 -3.4165E-01  1.9630E-01
  7.3333E-01 -1.0000E+00  1.6328E+08  8.8730E-01 -4.4538E-01  1.1974E-01
  7.4667E-01 -1.0000E+00  1.2835E+08  8.5136E-01 -5.2434E-01 -1.5935E-02
  7.6000E-01 -1.0000E+00  9.3985E+07  8.2162E-01 -5.2339E-01 -2.2585E-01
  7.7333E-01 -1.0000E+00  7.1816E+07  8.3127E-01 -3.4055E-01 -4.3934E-01
  7.8667E-01 -1.0000E+00  6.8175E+07  9.0214E-01 -2.2109E-02 -4.3088E-01
  8.0000E-01 -1.0000E+00  8.1378E+07  9.7100E-01  1.4628E-01 -1.8910E-01
  8.1333E-01 -1.0000E+00  1.0234E+08  9.9216E-01  1.1376E-01  5.1827E-02
  8.2667E-01 -1.0000E+00  1.1861E+08  9.7780E-01 -9.3094E-03  2.0933E-01
  8.4000E-01 -1.0000E+00  1.2014E+08  9.4052E-01 -1.6811E-01  2.9522E-01
  8.5333E-01 -1.0000E+00  1.0433E+08  8.8042E-01 -3.5473E-01  3.1469E-01
  8.6667E-01 -1.0000E+00  7.7599E+07  7.8974E-01 -5.6820E-01  2.3120E-01
  8.8000E-01 -1.0000E+00  5.2397E+07  6.7754E-01 -7.3344E-01 -5.4926E-02
  8.9333E-01 -1.0000E+00  4.0855E+07  6.6114E-01 -5.5861E-01 -5.0085E-01
  9.0667E-01 -1.0000E+00  4.8065E+07  8.2403E-01 -9.4854E-02 -5.5855E-01
  9.2000E-01 -1.0000E+00  6.8760E+07  9.5348E-01  1.1759E-01 -2.7758E-01
  9.3333E-01 -1.0000E+00  8.9661E+07  9.9381E-01  1.1059E-01 -1.0933E-02
  9.4667E-01 -1.0000E+00  9.6740E+07  9.8156E-01  1.4131E-02  1.9064E-01
  9.6000E-01 -1.0000E+00  8.3608E+07  9.2604E-01 -1.4168E-01  3.4981E-01
  9.7333E-01 -1.0000E+00  5.6028E+07  7.9736E-01 -3.9100E-01  4.5972E-01
  9.8667E-01 -1.0000E+00  2.9260E+07  5.0741E-01 -7.9351E-01  3.3597E-01
  1.0000E+00 -1.0000E+00  1.9085E+07  2.8838E-01 -8.0861E-01 -5.1282E-01
 -1.0000E+00 -9.8667E-01  5.3763E+07  5.3917E-01  4.8590E-01  6.8789E-01
 -9.8667E-01 -9.8667E-01  5.7596E+07  5.8572E-01  5.7681E-01  5.6941E-01
