Simulation Number,Dipole.photonEnergy,ExitSlit.totalHeight,PG.cFactor,M1.reflectivityType,PremirrorM2.reflectivityType,PG.reflectivityType,M3.reflectivityType,KB1.reflectivityType,KB2.reflectivityType,DetectorAtFocus_outgoingMaxF_X,DetectorAtFocus_outgoingMinF_X,DetectorAtFocus_outgoingMaxF_Y,DetectorAtFocus_outgoingMinF_Y,DetectorAtFocus_intensityH_width_X,DetectorAtFocus_intensityH_centerWidth_X,DetectorAtFocus_intensityH_centerMass_X,DetectorAtFocus_intensityH_width_Y,DetectorAtFocus_intensityH_centerWidth_Y,DetectorAtFocus_intensityH_centerMass_Y,DetectorAtFocus_energyH_width,DetectorAtFocus_energyH_centerWidth,DetectorAtFocus_energyH_centerMass,DetectorAtFocus_pathlengthH_width,DetectorAtFocus_pathlengthH_centerWidth,DetectorAtFocus_pathlengthH_centerMass,DetectorAtFocus_phi_width,DetectorAtFocus_phi_centerWidth,DetectorAtFocus_phi_centerMass,DetectorAtFocus_psi_width,DetectorAtFocus_psi_centerWidth,DetectorAtFocus_psi_centerMass,DetectorAtFocus_incoming_NO,DetectorAtFocus_absorbed_NO,DetectorAtFocus_outgoing_NO,DetectorAtFocus_incoming_R,DetectorAtFocus_absorbed_R,DetectorAtFocus_outgoing_R,DetectorAtFocus_efficiency,DetectorAtFocus_S1S0,DetectorAtFocus_S2S0,DetectorAtFocus_S3S0,DetectorAtFocus_focus_horizontal_z0,DetectorAtFocus_focus_horizontal_width,DetectorAtFocus_focus_horizontal_theta,DetectorAtFocus_focus_horizontal_depth,DetectorAtFocus_focus_horizontal_x0,DetectorAtFocus_focus_horizontal_phi0,DetectorAtFocus_focus_vertical_z0,DetectorAtFocus_focus_vertical_width,DetectorAtFocus_focus_vertical_theta,DetectorAtFocus_focus_vertical_depth,DetectorAtFocus_focus_horizontal_y0,DetectorAtFocus_focus_horizontal_psi0
0,1000,0.1,2.5,0,0,0,0,0,0,0.193846251729046,-0.22469179831463,0.0133677834813278,-0.0129483849107074,0.112226804578543,0.018490944588222,0.0177287554235385,0.0216482659757823,-0.0001227071621259,-0.00057196908277,0.179332695342072,1000.00346654787,999.99933557792,5.06137267927416,-0.0028864488634399,-0.0692333777387573,0.119048016359246,0.008557634849424,0.0009970335030115,0.0745188302222571,-0.000224266346047,0.0007005793553615,3033.0,0.0,3033.0,3.033,0.0,3.033,100.0,0.935,0.0,0.01,-15.536,0.0491771,0.000662529,148.453,-0.0015701,0.000101062,-1.68779,0.00659025,0.0003875,34.0142,-2.60323e-05,1.54239e-05
1,1000,0.05,2.5,0,0,0,0,0,0,0.196859038505295,-0.178112387625933,0.0136242576363204,-0.012715569750233,0.0954389348540925,0.0172266652888904,0.0167985021947548,0.0218629260320732,4.14258569508327e-05,0.0001935535728797,0.179543868994782,999.998432474125,1000.00016099221,5.14312879610609,-0.0377636540820689,-0.0135426248332351,0.11196464452494,0.0056704315348427,0.0002853378171175,0.0771358674850739,0.0004891087732058,6.30558491694147e-05,2967.0,0.0,2967.0,2.967,0.0,2.967,100.0,0.932,0.0,0.003,-13.7241,0.051181,0.000654142,156.483,-0.00107966,7.86691e-05,-1.69982,0.00654485,0.000398757,32.8263,-1.38152e-05,8.12747e-06
2,1500,0.1,2.5,0,0,0,0,0,0,0.190277753974404,-0.160637916654515,0.0132486753250307,-0.013067206901432,0.107403892487998,0.0221518200797873,0.018294331240429,0.0221093179362243,6.74005930479185e-06,-0.0001698190775715,0.288075766949778,1499.98797829556,1499.99600027062,5.15572869652245,-0.0347144378671627,0.0621977556764923,0.114549038541299,0.0071901271360426,-0.0006162994503443,0.0629430293399049,-0.0001588496377473,0.0007830794985012,3675.0,0.0,3675.0,3.675,0.0,3.675,100.0,0.949,0.0,0.004,-14.2426,0.0490067,0.000662961,147.842,-0.00120401,8.4536e-05,-2.38878,0.00656267,0.000318506,41.2091,-1.4933e-05,6.2513e-06
3,1500,0.05,2.5,0,0,0,0,0,0,0.236755703531968,-0.175671422029316,0.0130390075476159,-0.0131546471235751,0.11243062894839,0.0206057776602455,0.0182918300910898,0.021957717117104,0.0002015233275767,-5.7819787979585e-05,0.254128142547573,1499.99151812948,1499.99924582747,5.15716787359825,-0.0124361418460852,-0.0397504574149252,0.113515009256472,0.0066281348405297,0.0017109170021394,0.0629254760411437,0.0004404509135255,-0.0002944119778771,3725.0,0.0,3725.0,3.725,0.0,3.725,100.0,0.947,0.0,0.001,-13.9016,0.0501052,0.000660452,151.73,-0.00134129,9.64843e-05,-2.12999,0.00659702,0.000325103,40.5842,-7.30583e-06,3.42999e-06
4,2000,0.1,2.5,0,0,0,0,0,0,0.201456735302036,-0.235072575885621,0.0133713482625437,-0.0126583502991785,0.112882361192382,0.022090731200177,0.0177686588121804,0.0216699388191235,4.50875714969861e-05,-0.000158940593797,0.491014230853216,2000.02232337596,2000.00620637533,5.12118845800171,-0.0343958560634658,0.0273052096955912,0.11078372355581,0.0045608843279693,0.0003265610407347,0.0545119736553436,2.46731011353044e-05,-0.0003199032177985,4202.0,0.0,4202.0,4.202,0.0,4.202,100.0,0.956,0.0,-0.005,-15.7259,0.0502217,0.000651609,154.147,-0.00128017,8.14053e-05,-2.29386,0.00660083,0.000278041,47.481,-7.23844e-06,3.15556e-06
5,2000,0.05,2.5,0,0,0,0,0,0,0.220295529130613,-0.185755778685611,0.0130154699026216,-0.0129398906729229,0.108230019078564,0.0109256077792452,0.0172698752225008,0.0219667583418851,1.90512150938897e-05,0.000294773382924,0.444445598487552,1999.99051405263,2000.00094837189,5.24760756608187,-0.0418099438785262,-0.027410638936999,0.116269341808033,0.0072655256901551,-0.0002801974724539,0.0533106922452653,-0.0002634638367918,0.0002013374981744,4297.0,0.0,4297.0,4.297,0.0,4.297,100.0,0.957,0.0,0.001,-15.3857,0.0508228,0.000661297,153.706,-0.00130151,8.45921e-05,-2.23185,0.00652528,0.000275235,47.4161,-6.7055e-06,3.00446e-06
